Provider Name,Graduates,Region,Province,Municipality,Municipality Code,lat,lon
MANDAUE CITY COLLEGE TECHNOLOGICAL AND ENTREPRENEURIAL SKILLS TRAINING (MCCTEST) CENTER,20,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,10.32361,123.92222
MANDAUE INSTITUTE OF DEVELOPING SKILLS INC.,72,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,10.334988,123.9344397
"METROLOGYX TRAINING & ASSESSMENT CENTER, INC.",91,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,14.605733,120.987378
MICS CULINARY TRAINING SERVICES INCORPORATED,48,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,10.32361,123.92222
Provincial Training Center - (Tubigon),319,Region VII - Central Visayas,Bohol,Tubigon,PH0701245,9.9438749,123.9606781
PHILIPPINE WELDING RESEARCH AND DEVELOPMENT SOCIETY TRAINING AND TESTING CENTER INC.,76,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,10.3249149,123.9440109
UNIVERSITY OF CEBU (UC) - LAPULAPU & MANDAUE,31,Region VII - Central Visayas,Cebu,Mandaue City,PH0702230,10.32361,123.92222
LIFE SKILLS ACADEMY AND ASSESSMENT CENTER INC.,89,Region VII - Central Visayas,Cebu,Minglanilla,PH0702232,10.23884165,123.792047
"ST. PEDRO CALUNGSOD COLLEGE, INC.",19,Region VII - Central Visayas,Bohol,Tubigon,PH0701245,9.95,123.98333
"BOHOL NORTHERN STAR COLLEGE, INC.",141,Region VII - Central Visayas,Bohol,Ubay,PH0701246,10.0587658,124.472137
METROLOGYX TRAINING AND ASSESSMENT CENTER INC. DOING BUSINESS UNDER THE NAME/S AND STYLE/S OF METROL,0,Region VII - Central Visayas,Cebu,Minglanilla,PH0702232,10.2497707,123.7999868
Provincial Training Center - Cebu (Minglanilla),305,Region VII - Central Visayas,Cebu,Minglanilla,PH0702232,10.2497707,123.7999868
"ST. CECILIA'S COLLEGE - CEBU, INC.",31,Region VII - Central Visayas,Cebu,Minglanilla,PH0702232,10.2497707,123.7999868
LAMAC MULTIPURPOSE INTEGRATED FARM SCHOOL INTEGRATED ORGANIC FARM,39,Region VII - Central Visayas,Cebu,Pinamungahan,PH0702237,10.26667,123.58333
Provincial Training Center - Cebu (Samboan),502,Region VII - Central Visayas,Cebu,Samboan,PH0702240,9.5304848,123.3064145
VISAYAN INSTITUTE OF TECHNOLOGY AGRIBUSINESS AND LIVELIHOOD SKILLS INC.,764,Region VII - Central Visayas,Cebu,Samboan,PH0702240,9.5289902,123.3071174
"ST. PEREGRINE INSTITUTE, INC.",302,Region VII - Central Visayas,Cebu,San Fernando,PH0702241,10.169158,123.7131
TABOGON TECHNICAL SKILLS DEVELOPMENT CENTER,40,Region VII - Central Visayas,Cebu,Tabogon,PH0702248,10.92,124.0279
NED EXPERTISE TRAINING AND ASSESSMENT CENTER CORP.,122,Region VII - Central Visayas,Cebu,Toledo City,PH0702251,10.381155,123.643227
Provincial Training Center - Cebu (Toledo),341,Region VII - Central Visayas,Cebu,Toledo City,PH0702251,10.38333,123.66667
FCCT-INTEGRATED ORGANIC DEMO FARM INTEGRATED-DIVERSIFIED FARM FIRST CONSOLIDATED COOPERATIVE ALONG TAÑON SEABOARDS (FCCT) TUBURAN COOPERATIVE,19,Region VII - Central Visayas,Cebu,Tuburan,PH0702252,10.7285353,123.8254215
