SOC,AIOE
11-1011.00,1.2785130572477144
11-1011.03,1.2608875732288947
11-1021.00,0.9423290772346642
11-2011.00,1.2032710382913714
11-2021.00,1.2240479978595407
11-2022.00,1.2538675639564705
11-2033.00,1.058792908050255
11-3012.00,0.6446492389242834
11-3013.00,-0.04141932913285385
11-3013.01,0.2557940864740582
11-3021.00,0.9670103011534309
11-3031.00,1.234305030748603
11-3031.01,1.3442083529353746
11-3031.03,1.4174278660716582
11-3051.00,0.3993541221424067
11-3051.01,0.8500471326892277
11-3051.02,0.4732164131181018
11-3051.03,0.31587128565069933
11-3051.04,0.35156988187367855
11-3051.06,0.45996926576086317
11-3061.00,1.3612912599726934
11-3071.00,0.9340008307068164
11-3071.04,1.3557559946666748
11-3111.00,1.2186219819313266
11-3121.00,1.2678912765001198
11-3131.00,1.2405296055254214
11-9013.00,-0.2301508125264998
11-9021.00,0.5235649551415154
11-9031.00,0.7434896388814705
11-9032.00,1.1337422353416073
11-9033.00,1.371213185145331
11-9041.00,1.0069456148585034
11-9041.01,0.47707181131875526
11-9051.00,-0.12699533897555074
11-9071.00,0.7879671758394503
11-9072.00,0.3758760884171382
11-9081.00,0.304483589683955
11-9111.00,1.1952940520677295
11-9121.00,0.983906682920779
11-9121.01,1.3622919842042567
11-9121.02,1.2881177016226912
11-9131.00,0.7288210365545404
11-9141.00,1.2034384341699957
11-9151.00,1.0640149852855043
11-9161.00,0.9173781625650257
11-9171.00,0.3433036770489616
11-9179.01,-0.4828986266706148
11-9179.02,0.505573147514372
11-9199.01,1.360679353000678
11-9199.02,1.2267980762863664
11-9199.08,0.24571257367567512
11-9199.09,0.16547591697003408
11-9199.10,1.0405200004380868
11-9199.11,1.2234248432082764
13-1011.00,1.1428479464099406
13-1021.00,0.6737696965684681
13-1022.00,0.7242599632378659
13-1023.00,1.4064352471964678
13-1031.00,1.1979320282270065
13-1032.00,0.5677718826849779
13-1041.00,0.6582630787003725
13-1041.01,0.6277067416557544
13-1041.03,1.3439131244918816
13-1041.04,0.34531390682126
13-1041.06,0.04449937223812209
13-1041.07,1.34635768841295
13-1041.08,1.4521896339599962
13-1051.00,1.3236385957702916
13-1071.00,1.2693805338487802
13-1074.00,-0.5392060186863261
13-1075.00,1.316420520133177
13-1081.00,1.2774698120776689
13-1081.01,1.2541389596566468
13-1081.02,1.336892881057879
13-1111.00,1.3006800926946551
13-1121.00,0.2761211053711379
13-1131.00,1.2182488929551354
13-1141.00,1.3159921611590764
13-1151.00,1.125301054038325
13-1161.00,1.3366137220135108
13-1161.01,1.357758560703691
13-1199.04,1.3859557457532188
13-1199.05,1.2385247572418066
13-1199.06,1.159807144133111
13-1199.07,0.437657911612694
13-2011.00,1.3450020562734766
13-2022.00,0.7764742089056182
13-2023.00,0.8929391884747379
13-2031.00,1.270561839848206
13-2041.00,1.3619706994524075
13-2052.00,1.3406839197536036
13-2053.00,1.2357705840058633
13-2061.00,1.4308908224253862
13-2071.00,1.2447878025570893
13-2072.00,1.1667070504207502
13-2081.00,1.2457764001652993
13-2082.00,1.2928140179594079
13-2099.01,1.237092529582662
13-2099.04,1.2967921761746777
15-1211.00,1.0609613009425516
15-1211.01,1.051640306129637
15-1212.00,1.158693016654159
15-1221.00,1.0621724798148253
15-1231.00,0.6912092232015424
15-1232.00,0.4154865910960427
15-1241.00,0.9753600525629936
15-1241.01,0.3449791159581268
15-1242.00,1.2712595915227325
15-1243.00,1.2013073999660326
15-1243.01,1.295266362636258
15-1244.00,0.694726535544861
15-1251.00,1.1802686836574676
15-1252.00,1.156832810670418
15-1253.00,1.1287370009418167
15-1254.00,0.9969068876012548
15-1255.01,0.9720589531105446
15-1299.01,1.0768757098629762
15-1299.02,1.010840788074293
15-1299.03,1.1585864048847545
15-1299.05,1.1647334444032833
15-1299.08,1.1585216044835651
15-1299.09,1.388784111523391
15-2011.00,1.3969082499953343
15-2021.00,1.3941073721991768
15-2031.00,1.3723022084755332
15-2041.00,1.293349322847846
15-2041.01,1.3448437799126551
15-2051.01,1.424138971787203
15-2051.02,1.4032495165369525
15-2099.01,1.3826534792204757
17-1011.00,0.9883662038987108
17-1012.00,0.9034940703101606
17-1021.00,0.7224314489970416
17-1022.00,-0.12432792095579163
17-1022.01,0.4631842555375429
17-2011.00,1.2479876486580705
17-2021.00,0.7573280857051801
17-2031.00,0.9664101392091741
17-2041.00,1.2934314527896151
17-2051.00,1.2442193417860725
17-2051.01,1.2330648707832328
17-2051.02,1.2938017753796889
17-2061.00,1.0271207784392442
17-2071.00,0.9969931335605551
17-2072.00,0.6075889205959774
17-2072.01,0.701947303775666
17-2081.00,1.3254379616673337
17-2111.00,0.7498596844684938
17-2111.02,1.2410398479747993
17-2112.00,0.8796142465705452
17-2112.01,1.2322581712810072
17-2112.02,1.037789437864061
17-2112.03,0.45342778924357
17-2121.00,0.22007164375965227
17-2131.00,0.8670426049217888
17-2141.00,1.095663712398635
