2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
S961,Cordillera Administrative Region (CAR),"Personal services for wellness, except sports activities",139,220,139,220,0,0,S,Other Service Activities
S962,Cordillera Administrative Region (CAR),Laundry services,125,67,125,67,0,0,S,Other Service Activities
S963,Cordillera Administrative Region (CAR),Funeral and related activities,94,35,70,10,24,25,S,Other Service Activities
S969,Cordillera Administrative Region (CAR),"Other personal service activities, n.e.c.",3,27,3,27,0,0,S,Other Service Activities
,Region I (Ilocos Region),,,,,,,,S,Other Service Activities
S951,Region I (Ilocos Region),Repair of computers and communications equipment,30,28,25,25,5,3,S,Other Service Activities
S952,Region I (Ilocos Region),Repair of personal and household goods,244,58,236,53,8,5,S,Other Service Activities
S961,Region I (Ilocos Region),"Personal services for wellness, except sports activities",534,442,497,442,37,0,S,Other Service Activities
S962,Region I (Ilocos Region),Laundry services,0,315,0,298,0,18,S,Other Service Activities
S963,Region I (Ilocos Region),Funeral and related activities,364,98,364,87,0,11,S,Other Service Activities
S969,Region I (Ilocos Region),"Other personal service activities, n.e.c.",8,0,8,0,0,0,S,Other Service Activities
,Region II (Cagayan Valley),,,,,,,,S,Other Service Activities
S951,Region II (Cagayan Valley),Repair of computers and communications equipment,20,12,20,12,0,0,S,Other Service Activities
S952,Region II (Cagayan Valley),Repair of personal and household goods,112,38,110,37,2,1,S,Other Service Activities
S961,Region II (Cagayan Valley),"Personal services for wellness, except sports activities",164,219,164,199,0,20,S,Other Service Activities
S962,Region II (Cagayan Valley),Laundry services,0,131,0,131,0,0,S,Other Service Activities
S963,Region II (Cagayan Valley),Funeral and related activities,149,40,149,40,0,0,S,Other Service Activities
S969,Region II (Cagayan Valley),"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Region III (Central Luzon),,,,,,,,S,Other Service Activities
S951,Region III (Central Luzon),Repair of computers and communications equipment,105,68,99,63,5,5,S,Other Service Activities
S952,Region III (Central Luzon),Repair of personal and household goods,357,114,340,113,17,1,S,Other Service Activities
S961,Region III (Central Luzon),"Personal services for wellness, except sports activities",775,2627,755,2607,19,20,S,Other Service Activities
S962,Region III (Central Luzon),Laundry services,181,675,181,673,0,2,S,Other Service Activities
S963,Region III (Central Luzon),Funeral and related activities,776,183,752,183,25,0,S,Other Service Activities
S969,Region III (Central Luzon),"Other personal service activities, n.e.c.",11,7,11,7,0,0,S,Other Service Activities
,Region IV-A (CALABARZON),,,,,,,,S,Other Service Activities
S951,Region IV-A (CALABARZON),Repair of computers and communications equipment,53,52,48,49,5,3,S,Other Service Activities
S952,Region IV-A (CALABARZON),Repair of personal and household goods,688,272,688,268,0,4,S,Other Service Activities
S961,Region IV-A (CALABARZON),"Personal services for wellness, except sports activities",1510,4978,1461,4855,49,123,S,Other Service Activities
S962,Region IV-A (CALABARZON),Laundry services,182,1212,182,1212,0,0,S,Other Service Activities
S963,Region IV-A (CALABARZON),Funeral and related activities,1840,444,1835,444,5,0,S,Other Service Activities
S969,Region IV-A (CALABARZON),"Other personal service activities, n.e.c.",59,70,59,70,0,0,S,Other Service Activities
,MIMAROPA Region,,,,,,,,S,Other Service Activities
S951,MIMAROPA Region,Repair of computers and communications equipment,4,7,4,7,0,0,S,Other Service Activities
S952,MIMAROPA Region,Repair of personal and household goods,31,8,31,7,0,1,S,Other Service Activities
