2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
G464,Region VIII (Eastern Visayas),Wholesale of household goods,519,364,519,364,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region VIII (Eastern Visayas),"Wholesale of machinery, equipment and supplies",159,57,158,57,1,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region VIII (Eastern Visayas),Other specialized wholesale,796,132,796,132,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region VIII (Eastern Visayas),Retail sale in non-specialized stores,2346,3668,2258,3640,88,28,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region VIII (Eastern Visayas),"Retail sale of food, beverages and tobacco in specialized stores",1748,668,1663,584,84,84,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region VIII (Eastern Visayas),Retail sale of automotive fuel in specialized stores,1207,504,1207,504,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region VIII (Eastern Visayas),Retail sale of information and communications equipment in specialized stores,366,442,346,442,21,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region VIII (Eastern Visayas),Retail sale of other household equipment in specialized stores,4417,2389,4159,2323,257,66,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region VIII (Eastern Visayas),Retail sale of cultural and recreation goods in specialized stores,333,308,333,308,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region VIII (Eastern Visayas),Retail sale of other goods in specialized stores,3130,2495,3042,2347,89,148,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region VIII (Eastern Visayas),"Retail trade not in stores, stalls or markets",,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Region IX (Zamboanga Peninsula),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Region IX (Zamboanga Peninsula),Sale of motor vehicles,286,168,286,168,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Region IX (Zamboanga Peninsula),Maintenance and repair of motor vehicles,328,104,299,95,29,9,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Region IX (Zamboanga Peninsula),Sale of motor vehicle parts and accessories,312,102,289,55,24,47,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Region IX (Zamboanga Peninsula),"Sale, maintenance and repair of motorcycles and related parts and accessories",1514,690,1488,690,26,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G461,Region IX (Zamboanga Peninsula),Wholesale on a fee or contract basis,102,73,102,73,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Region IX (Zamboanga Peninsula),Wholesale of agricultural raw materials and live animals,767,210,729,187,38,23,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Region IX (Zamboanga Peninsula),"Wholesale of food, beverages and tobacco",1335,194,1279,193,56,1,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Region IX (Zamboanga Peninsula),Wholesale of household goods,1333,458,1333,458,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region IX (Zamboanga Peninsula),"Wholesale of machinery, equipment and supplies",180,104,180,102,0,2,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region IX (Zamboanga Peninsula),Other specialized wholesale,1015,343,977,305,38,38,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region IX (Zamboanga Peninsula),Retail sale in non-specialized stores,1481,4221,1209,3027,272,1195,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region IX (Zamboanga Peninsula),"Retail sale of food, beverages and tobacco in specialized stores",910,1251,870,1251,40,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region IX (Zamboanga Peninsula),Retail sale of automotive fuel in specialized stores,1212,513,1212,513,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region IX (Zamboanga Peninsula),Retail sale of information and communications equipment in specialized stores,220,509,185,509,35,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region IX (Zamboanga Peninsula),Retail sale of other household equipment in specialized stores,2598,1884,2422,1697,176,187,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region IX (Zamboanga Peninsula),Retail sale of cultural and recreation goods in specialized stores,160,213,153,211,7,2,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region IX (Zamboanga Peninsula),Retail sale of other goods in specialized stores,2001,3463,1957,3245,44,217,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region IX (Zamboanga Peninsula),"Retail trade not in stores, stalls or markets",4,2,2,2,2,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Region X (Northern Mindanao),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Region X (Northern Mindanao),Sale of motor vehicles,956,677,936,677,20,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Region X (Northern Mindanao),Maintenance and repair of motor vehicles,741,140,740,139,1,1,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Region X (Northern Mindanao),Sale of motor vehicle parts and accessories,740,448,740,448,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Region X (Northern Mindanao),"Sale, maintenance and repair of motorcycles and related parts and accessories",2140,1313,2067,1313,73,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G461,Region X (Northern Mindanao),Wholesale on a fee or contract basis,334,203,334,203,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Region X (Northern Mindanao),Wholesale of agricultural raw materials and live animals,298,149,298,149,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Region X (Northern Mindanao),"Wholesale of food, beverages and tobacco",1899,1112,1899,1112,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Region X (Northern Mindanao),Wholesale of household goods,1056,504,1056,504,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region X (Northern Mindanao),"Wholesale of machinery, equipment and supplies",433,276,433,276,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region X (Northern Mindanao),Other specialized wholesale,2148,853,2143,853,5,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G469,Region X (Northern Mindanao),Non-specialized wholesale trade,20,19,20,19,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region X (Northern Mindanao),Retail sale in non-specialized stores,4334,5045,4246,4981,88,64,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region X (Northern Mindanao),"Retail sale of food, beverages and tobacco in specialized stores",1619,1042,1463,963,156,79,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region X (Northern Mindanao),Retail sale of automotive fuel in specialized stores,1926,1485,1926,1485,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region X (Northern Mindanao),Retail sale of information and communications equipment in specialized stores,446,705,411,687,35,17,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region X (Northern Mindanao),Retail sale of other household equipment in specialized stores,4492,2549,4382,2494,110,55,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region X (Northern Mindanao),Retail sale of cultural and recreation goods in specialized stores,306,482,258,435,48,48,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region X (Northern Mindanao),Retail sale of other goods in specialized stores,2847,5009,2722,4939,125,70,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region X (Northern Mindanao),"Retail trade not in stores, stalls or markets",10,6,10,6,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Region XI (Davao Region),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Region XI (Davao Region),Sale of motor vehicles,1645,833,1645,833,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Region XI (Davao Region),Maintenance and repair of motor vehicles,819,266,757,249,62,17,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Region XI (Davao Region),Sale of motor vehicle parts and accessories,1155,569,1008,569,147,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Region XI (Davao Region),"Sale, maintenance and repair of motorcycles and related parts and accessories",1985,1244,1985,1244,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G461,Region XI (Davao Region),Wholesale on a fee or contract basis,1110,506,1110,506,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Region XI (Davao Region),Wholesale of agricultural raw materials and live animals,411,255,411,255,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Region XI (Davao Region),"Wholesale of food, beverages and tobacco",2299,1191,2299,1191,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Region XI (Davao Region),Wholesale of household goods,2546,1696,2546,1696,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region XI (Davao Region),"Wholesale of machinery, equipment and supplies",764,477,743,458,21,19,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region XI (Davao Region),Other specialized wholesale,2521,1221,2521,1221,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G469,Region XI (Davao Region),Non-specialized wholesale trade,13,15,13,15,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region XI (Davao Region),Retail sale in non-specialized stores,9263,7054,9142,6933,121,121,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region XI (Davao Region),"Retail sale of food, beverages and tobacco in specialized stores",1238,899,1238,899,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region XI (Davao Region),Retail sale of automotive fuel in specialized stores,2214,1530,2214,1530,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region XI (Davao Region),Retail sale of information and communications equipment in specialized stores,613,1196,613,1196,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region XI (Davao Region),Retail sale of other household equipment in specialized stores,5847,3049,5689,2876,158,173,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region XI (Davao Region),Retail sale of cultural and recreation goods in specialized stores,86,196,86,196,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region XI (Davao Region),Retail sale of other goods in specialized stores,3854,4835,3790,4771,64,64,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region XI (Davao Region),"Retail trade not in stores, stalls or markets",37,57,37,36,0,21,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Region XII (SOCCSKSARGEN),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Region XII (SOCCSKSARGEN),Sale of motor vehicles,552,362,552,362,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Region XII (SOCCSKSARGEN),Maintenance and repair of motor vehicles,672,301,649,289,23,12,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Region XII (SOCCSKSARGEN),Sale of motor vehicle parts and accessories,735,310,735,310,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Region XII (SOCCSKSARGEN),"Sale, maintenance and repair of motorcycles and related parts and accessories",1413,1008,1413,1008,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G461,Region XII (SOCCSKSARGEN),Wholesale on a fee or contract basis,125,28,121,28,4,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Region XII (SOCCSKSARGEN),Wholesale of agricultural raw materials and live animals,1769,510,1764,508,5,2,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Region XII (SOCCSKSARGEN),"Wholesale of food, beverages and tobacco",900,599,886,586,14,14,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Region XII (SOCCSKSARGEN),Wholesale of household goods,842,542,842,514,0,28,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region XII (SOCCSKSARGEN),"Wholesale of machinery, equipment and supplies",449,203,433,198,16,5,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region XII (SOCCSKSARGEN),Other specialized wholesale,496,263,496,248,0,15,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region XII (SOCCSKSARGEN),Retail sale in non-specialized stores,2976,4685,2939,4612,36,73,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region XII (SOCCSKSARGEN),"Retail sale of food, beverages and tobacco in specialized stores",1628,1678,1611,1612,17,66,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region XII (SOCCSKSARGEN),Retail sale of automotive fuel in specialized stores,1361,761,1332,761,29,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region XII (SOCCSKSARGEN),Retail sale of information and communications equipment in specialized stores,547,653,547,653,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region XII (SOCCSKSARGEN),Retail sale of other household equipment in specialized stores,2806,2469,2806,2469,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region XII (SOCCSKSARGEN),Retail sale of cultural and recreation goods in specialized stores,223,330,223,330,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region XII (SOCCSKSARGEN),Retail sale of other goods in specialized stores,2118,3484,2052,3484,66,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region XII (SOCCSKSARGEN),"Retail trade not in stores, stalls or markets",19,19,5,5,14,15,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Region XIII (Caraga),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Region XIII (Caraga),Sale of motor vehicles,316,207,316,207,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Region XIII (Caraga),Maintenance and repair of motor vehicles,300,80,300,77,0,4,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Region XIII (Caraga),Sale of motor vehicle parts and accessories,182,183,182,164,0,19,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Region XIII (Caraga),"Sale, maintenance and repair of motorcycles and related parts and accessories",1008,556,1008,556,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G461,Region XIII (Caraga),Wholesale on a fee or contract basis,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Region XIII (Caraga),Wholesale of agricultural raw materials and live animals,198,133,191,126,7,7,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Region XIII (Caraga),"Wholesale of food, beverages and tobacco",765,145,765,145,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Region XIII (Caraga),Wholesale of household goods,325,351,325,351,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Region XIII (Caraga),"Wholesale of machinery, equipment and supplies",362,381,362,381,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Region XIII (Caraga),Other specialized wholesale,492,205,483,188,8,17,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G469,Region XIII (Caraga),Non-specialized wholesale trade,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Region XIII (Caraga),Retail sale in non-specialized stores,1515,3937,1465,3838,50,98,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Region XIII (Caraga),"Retail sale of food, beverages and tobacco in specialized stores",764,360,764,360,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Region XIII (Caraga),Retail sale of automotive fuel in specialized stores,1445,868,1445,868,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Region XIII (Caraga),Retail sale of information and communications equipment in specialized stores,631,822,631,822,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Region XIII (Caraga),Retail sale of other household equipment in specialized stores,2101,823,2040,822,61,1,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Region XIII (Caraga),Retail sale of cultural and recreation goods in specialized stores,100,144,98,142,2,2,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Region XIII (Caraga),Retail sale of other goods in specialized stores,2345,2685,2345,2649,0,37,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Region XIII (Caraga),"Retail trade not in stores, stalls or markets",,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),,,,,,,,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G451,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Sale of motor vehicles,14,4,8,4,6,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G452,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Maintenance and repair of motor vehicles,42,15,42,15,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G453,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Sale of motor vehicle parts and accessories,159,73,116,66,43,7,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G454,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Sale, maintenance and repair of motorcycles and related parts and accessories",213,61,213,61,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G462,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Wholesale of agricultural raw materials and live animals,195,16,119,11,77,5,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G463,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Wholesale of food, beverages and tobacco",242,171,237,166,5,5,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G464,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Wholesale of household goods,53,32,53,28,0,5,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G465,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Wholesale of machinery, equipment and supplies",25,11,25,11,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G466,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Other specialized wholesale,37,39,35,36,2,3,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G471,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale in non-specialized stores,355,539,298,482,57,57,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G472,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Retail sale of food, beverages and tobacco in specialized stores",90,116,67,71,23,46,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G473,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale of automotive fuel in specialized stores,290,113,290,113,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G474,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale of information and communications equipment in specialized stores,72,27,72,27,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G475,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale of other household equipment in specialized stores,263,319,250,300,12,19,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G476,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale of cultural and recreation goods in specialized stores,26,41,26,41,0,0,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G477,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Retail sale of other goods in specialized stores,569,1097,559,1019,10,78,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
G479,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Retail trade not in stores, stalls or markets",1,3,1,1,0,2,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles
,Philippines,,,,,,,,P,Education
P851,Philippines,Pre-primary/pre-school education ,2337,8090,2133,7852,204,238,P,Education
P852,Philippines,Primary/elementary education,7443,23988,7221,23555,221,433,P,Education
P853,Philippines,Secondary/high school education,29830,58814,29139,58145,692,669,P,Education
P854,Philippines,Higher education,64778,85752,64442,85453,336,299,P,Education
P855,Philippines,Other education services,6955,10153,6872,10093,83,60,P,Education
P856,Philippines,Educational support services,79,151,77,149,2,2,P,Education
,National Capital Region (NCR),,,,,,,,P,Education
P851,National Capital Region (NCR),Pre-primary/pre-school education ,558,2165,539,2096,19,68,P,Education
P852,National Capital Region (NCR),Primary/elementary education,1655,4164,1655,4164,0,0,P,Education
P853,National Capital Region (NCR),Secondary/high school education,6369,11672,6317,11621,52,51,P,Education
P854,National Capital Region (NCR),Higher education,17333,19725,17241,19685,91,40,P,Education
P855,National Capital Region (NCR),Other education services,3574,3716,3574,3716,0,0,P,Education
P856,National Capital Region (NCR),Educational support services,75,115,74,114,1,1,P,Education
,Cordillera Administrative Region (CAR),,,,,,,,P,Education
P851,Cordillera Administrative Region (CAR),Pre-primary/pre-school education ,38,51,13,43,26,9,P,Education
P852,Cordillera Administrative Region (CAR),Primary/elementary education,94,387,85,345,9,42,P,Education
P853,Cordillera Administrative Region (CAR),Secondary/high school education,660,1505,651,1500,9,5,P,Education
P854,Cordillera Administrative Region (CAR),Higher education,1501,2556,1455,2517,46,39,P,Education
P855,Cordillera Administrative Region (CAR),Other education services,259,566,242,566,17,0,P,Education
P856,Cordillera Administrative Region (CAR),Educational support services,,,,,,,P,Education
,Region I (Ilocos Region),,,,,,,,P,Education
P851,Region I (Ilocos Region),Pre-primary/pre-school education ,66,237,54,225,12,12,P,Education
P852,Region I (Ilocos Region),Primary/elementary education,590,1724,574,1691,16,34,P,Education
P853,Region I (Ilocos Region),Secondary/high school education,1085,2374,1085,2374,0,0,P,Education
P854,Region I (Ilocos Region),Higher education,2662,3277,2654,3271,8,6,P,Education
P855,Region I (Ilocos Region),Other education services,108,91,80,62,28,29,P,Education
,Region II (Cagayan Valley),,,,,,,,P,Education
P851,Region II (Cagayan Valley),Pre-primary/pre-school education ,92,382,75,367,17,14,P,Education
P852,Region II (Cagayan Valley),Primary/elementary education,252,518,252,503,0,15,P,Education
P853,Region II (Cagayan Valley),Secondary/high school education,763,1653,756,1653,6,0,P,Education
P854,Region II (Cagayan Valley),Higher education,2265,2903,2252,2901,13,2,P,Education
P855,Region II (Cagayan Valley),Other education services,58,29,58,29,0,0,P,Education
,Region III (Central Luzon),,,,,,,,P,Education
P851,Region III (Central Luzon),Pre-primary/pre-school education ,138,325,137,304,1,20,P,Education
P852,Region III (Central Luzon),Primary/elementary education,1104,3721,1069,3613,35,108,P,Education
P853,Region III (Central Luzon),Secondary/high school education,4282,8220,4274,8203,8,16,P,Education
P854,Region III (Central Luzon),Higher education,6746,7750,6743,7747,3,3,P,Education
P855,Region III (Central Luzon),Other education services,340,514,340,513,0,1,P,Education
P856,Region III (Central Luzon),Educational support services,,,,,,,P,Education
,Region IV-A (CALABARZON),,,,,,,,P,Education
P851,Region IV-A (CALABARZON),Pre-primary/pre-school education ,540,973,486,934,53,39,P,Education
P852,Region IV-A (CALABARZON),Primary/elementary education,1570,5685,1551,5638,19,48,P,Education
P853,Region IV-A (CALABARZON),Secondary/high school education,5788,10385,5417,10020,370,366,P,Education
P854,Region IV-A (CALABARZON),Higher education,7427,11198,7391,11155,36,43,P,Education
P855,Region IV-A (CALABARZON),Other education services,530,490,526,488,4,2,P,Education
,MIMAROPA Region,,,,,,,,P,Education
P851,MIMAROPA Region,Pre-primary/pre-school education ,88,207,74,207,13,0,P,Education
P852,MIMAROPA Region,Primary/elementary education,428,799,386,759,42,40,P,Education
P853,MIMAROPA Region,Secondary/high school education,518,818,437,765,81,52,P,Education
P854,MIMAROPA Region,Higher education,818,1356,815,1354,3,3,P,Education
P855,MIMAROPA Region,Other education services,44,106,44,106,0,0,P,Education
,Region V (Bicol Region),,,,,,,,P,Education
P851,Region V (Bicol Region),Pre-primary/pre-school education ,69,380,69,368,0,13,P,Education
P852,Region V (Bicol Region),Primary/elementary education,232,936,232,917,0,19,P,Education
P853,Region V (Bicol Region),Secondary/high school education,1116,2316,1086,2259,31,57,P,Education
P854,Region V (Bicol Region),Higher education,3316,4561,3286,4524,30,37,P,Education
P855,Region V (Bicol Region),Other education services,63,190,63,190,0,0,P,Education
,Region VI (Western Visayas),,,,,,,,P,Education
P851,Region VI (Western Visayas),Pre-primary/pre-school education ,246,1525,226,1515,20,10,P,Education
P852,Region VI (Western Visayas),Primary/elementary education,194,1092,167,1065,27,27,P,Education
P853,Region VI (Western Visayas),Secondary/high school education,1673,4494,1662,4450,11,44,P,Education
P854,Region VI (Western Visayas),Higher education,3949,6085,3918,6060,31,25,P,Education
P855,Region VI (Western Visayas),Other education services,490,644,484,632,6,11,P,Education
,Region VII (Central Visayas),,,,,,,,P,Education
P851,Region VII (Central Visayas),Pre-primary/pre-school education ,105,365,99,339,7,27,P,Education
P852,Region VII (Central Visayas),Primary/elementary education,166,738,166,722,0,16,P,Education
P853,Region VII (Central Visayas),Secondary/high school education,2296,5093,2227,5031,69,63,P,Education
P854,Region VII (Central Visayas),Higher education,5860,7839,5831,7820,29,19,P,Education
P855,Region VII (Central Visayas),Other education services,1033,3219,1033,3219,0,0,P,Education
P856,Region VII (Central Visayas),Educational support services,4,19,3,19,1,0,P,Education
,Region VIII (Eastern Visayas),,,,,,,,P,Education
P851,Region VIII (Eastern Visayas),Pre-primary/pre-school education ,7,144,7,142,0,2,P,Education
P852,Region VIII (Eastern Visayas),Primary/elementary education,174,653,167,645,7,8,P,Education
P853,Region VIII (Eastern Visayas),Secondary/high school education,622,1025,594,1012,28,14,P,Education
P854,Region VIII (Eastern Visayas),Higher education,1503,1789,1503,1747,0,42,P,Education
P855,Region VIII (Eastern Visayas),Other education services,55,38,55,38,0,0,P,Education
,Region IX (Zamboanga Peninsula),,,,,,,,P,Education
P851,Region IX (Zamboanga Peninsula),Pre-primary/pre-school education ,62,261,55,255,7,7,P,Education
P852,Region IX (Zamboanga Peninsula),Primary/elementary education,102,341,76,320,25,21,P,Education
P853,Region IX (Zamboanga Peninsula),Secondary/high school education,359,1020,358,1020,1,0,P,Education
P854,Region IX (Zamboanga Peninsula),Higher education,1623,2244,1619,2240,4,4,P,Education
P855,Region IX (Zamboanga Peninsula),Other education services,26,54,25,53,1,1,P,Education
,Region X (Northern Mindanao),,,,,,,,P,Education
P851,Region X (Northern Mindanao),Pre-primary/pre-school education ,115,243,115,243,0,0,P,Education
