Region Description,Job Sector,Total,Paid,Regional Description
Region XIII (Caraga),Education,4354,4352,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Education,4175,4126,
Philippines,Administrative and Support Service Activities Sector,1364700,1363115,
National Capital Region (NCR),Administrative and Support Service Activities Sector,794753,793657,
Cordillera Administrative Region (CAR),Administrative and Support Service Activities Sector,11765,11749,
Region I (Ilocos Region),Administrative and Support Service Activities Sector,10206,10194,
Region II (Cagayan Valley),Administrative and Support Service Activities Sector,2749,2746,
Region III (Central Luzon),Administrative and Support Service Activities Sector,86806,86788,
Region IV-A (CALABARZON),Administrative and Support Service Activities Sector,80139,80076,
MIMAROPA Region,Administrative and Support Service Activities Sector,3883,3879,
Region V (Bicol Region),Administrative and Support Service Activities Sector,15939,15912,
Region VI (Western Visayas),Administrative and Support Service Activities Sector,54664,54660,
Region VII (Central Visayas),Administrative and Support Service Activities Sector,182863,182707,
Region VIII (Eastern Visayas),Administrative and Support Service Activities Sector,5030,4960,
Region IX (Zamboanga Peninsula),Administrative and Support Service Activities Sector,3772,3758,
Region X (Northern Mindanao),Administrative and Support Service Activities Sector,26358,26293,
Region XI (Davao Region),Administrative and Support Service Activities Sector,50023,50018,
Region XII (SOCCSKSARGEN),Administrative and Support Service Activities Sector,28704,28693,
Region XIII (Caraga),Administrative and Support Service Activities Sector,6412,6394,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Administrative and Support Service Activities Sector,633,631,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Administrative and Support Service Activities Sector,,,
Philippines,Financial and Insurance Activities,373866,371357,
National Capital Region (NCR),Financial and Insurance Activities,142517,142074,
Cordillera Administrative Region (CAR),Financial and Insurance Activities,5135,4974,
Region I (Ilocos Region),Financial and Insurance Activities,13893,13886,
Region II (Cagayan Valley),Financial and Insurance Activities,9600,9543,
Region III (Central Luzon),Financial and Insurance Activities,24896,24846,
Region IV-A (CALABARZON),Financial and Insurance Activities,33305,33181,
MIMAROPA Region,Financial and Insurance Activities,6924,6181,
Region V (Bicol Region),Financial and Insurance Activities,16618,16618,
Region VI (Western Visayas),Financial and Insurance Activities,22254,22251,
Region VII (Central Visayas),Financial and Insurance Activities,29174,28945,
Region VIII (Eastern Visayas),Financial and Insurance Activities,8816,8816,
Region IX (Zamboanga Peninsula),Financial and Insurance Activities,8836,8507,
Region X (Northern Mindanao),Financial and Insurance Activities,16485,16473,
Region XI (Davao Region),Financial and Insurance Activities,14922,14922,
Region XII (SOCCSKSARGEN),Financial and Insurance Activities,10291,9940,
Region XIII (Caraga),Financial and Insurance Activities,7099,7099,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Financial and Insurance Activities,3101,3101,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Financial and Insurance Activities,,,
Philippines,Information and Communication,169331,169050,
National Capital Region (NCR),Information and Communication,134730,134631,
Cordillera Administrative Region (CAR),Information and Communication,668,654,
Region I (Ilocos Region),Information and Communication,1617,1608,
Region II (Cagayan Valley),Information and Communication,502,495,
Region III (Central Luzon),Information and Communication,2401,2399,
Region IV-A (CALABARZON),Information and Communication,5067,5041,
MIMAROPA Region,Information and Communication,441,420,
Region V (Bicol Region),Information and Communication,1236,1223,
Region VI (Western Visayas),Information and Communication,1694,1675,
Region VII (Central Visayas),Information and Communication,13935,13935,
Region VIII (Eastern Visayas),Information and Communication,2700,2680,
Region IX (Zamboanga Peninsula),Information and Communication,517,491,
Region X (Northern Mindanao),Information and Communication,1056,1055,
Region XI (Davao Region),Information and Communication,858,847,
Region XII (SOCCSKSARGEN),Information and Communication,1298,1288,
Region XIII (Caraga),Information and Communication,468,468,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Information and Communication,142,140,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Information and Communication,,,
Philippines,Real Estate Activities,104095,103722,
National Capital Region (NCR),Real Estate Activities,68360,68331,
Cordillera Administrative Region (CAR),Real Estate Activities,1538,1538,
Region I (Ilocos Region),Real Estate Activities,1153,1105,
Region II (Cagayan Valley),Real Estate Activities,131,127,
Region III (Central Luzon),Real Estate Activities,6740,6740,
Region IV-A (CALABARZON),Real Estate Activities,10386,10251,
MIMAROPA Region,Real Estate Activities,320,316,
Region V (Bicol Region),Real Estate Activities,476,470,
Region VI (Western Visayas),Real Estate Activities,2147,2147,
Region VII (Central Visayas),Real Estate Activities,6835,6758,
Region VIII (Eastern Visayas),Real Estate Activities,613,613,
Region IX (Zamboanga Peninsula),Real Estate Activities,500,491,
Region X (Northern Mindanao),Real Estate Activities,869,854,
Region XI (Davao Region),Real Estate Activities,2687,2687,
Region XII (SOCCSKSARGEN),Real Estate Activities,735,693,
Region XIII (Caraga),Real Estate Activities,523,519,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Real Estate Activities,81,81,
Philippines,Human Health and Social Work Activities,215729,213507,
National Capital Region (NCR),Human Health and Social Work Activities,70965,70490,
Cordillera Administrative Region (CAR),Human Health and Social Work Activities,2724,2635,
Region I (Ilocos Region),Human Health and Social Work Activities,6976,6859,
Region II (Cagayan Valley),Human Health and Social Work Activities,5318,5157,
Region III (Central Luzon),Human Health and Social Work Activities,21528,21315,
Region IV-A (CALABARZON),Human Health and Social Work Activities,31988,31618,
MIMAROPA Region,Human Health and Social Work Activities,2649,2599,
Region V (Bicol Region),Human Health and Social Work Activities,6831,6613,
Region VI (Western Visayas),Human Health and Social Work Activities,12793,12748,
Region VII (Central Visayas),Human Health and Social Work Activities,17061,16982,
Region VIII (Eastern Visayas),Human Health and Social Work Activities,4709,4659,
Region IX (Zamboanga Peninsula),Human Health and Social Work Activities,4333,4284,
Region X (Northern Mindanao),Human Health and Social Work Activities,6969,6926,
Region XI (Davao Region),Human Health and Social Work Activities,8824,8727,
Region XII (SOCCSKSARGEN),Human Health and Social Work Activities,8063,7936,
Region XIII (Caraga),Human Health and Social Work Activities,2023,1996,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Human Health and Social Work Activities,1976,1960,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Human Health and Social Work Activities,,,
Philippines,Accommodation and Food Service Activities,363970,360857,
National Capital Region (NCR),Accommodation and Food Service Activities,121503,121308,
Cordillera Administrative Region (CAR),Accommodation and Food Service Activities,8571,8494,
Region I (Ilocos Region),Accommodation and Food Service Activities,13376,13293,
Region II (Cagayan Valley),Accommodation and Food Service Activities,5107,4946,
Region III (Central Luzon),Accommodation and Food Service Activities,39460,39130,
Region IV-A (CALABARZON),Accommodation and Food Service Activities,53361,52771,
MIMAROPA Region,Accommodation and Food Service Activities,4840,4725,
Region V (Bicol Region),Accommodation and Food Service Activities,10002,9871,
Region VI (Western Visayas),Accommodation and Food Service Activities,23238,22975,
Region VII (Central Visayas),Accommodation and Food Service Activities,34928,34811,
Region VIII (Eastern Visayas),Accommodation and Food Service Activities,7021,6892,
Region IX (Zamboanga Peninsula),Accommodation and Food Service Activities,7099,6876,
Region X (Northern Mindanao),Accommodation and Food Service Activities,8826,8742,
