"commentId","commentUrl","text","likesCount","threadingDepth"
"848003508020355","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02oDCFSvUgktdwduCkgXGfmizFkpbusb3wsWpS7ZAaYMqUVYam8r5AiodzVeLCYBnXl?comment_id=848003508020355","Hello, also selling my unifs! Pasabay din po if anyone is interested. 🤩
2 blouses- never been used yung isa and twice lang yung isa. Palda , the same with other set of blouse twice used. Thank you po! HEART REAAACCCT IF INTERESTED 🫰","0","0"
"1939717813570275","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02oDCFSvUgktdwduCkgXGfmizFkpbusb3wsWpS7ZAaYMqUVYam8r5AiodzVeLCYBnXl?comment_id=1939717813570275","helloo, interested po sa pe shirt ^^","0","0"
"1197777972543918","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02kmSUZrqDjh1u3GcNcpuBYAActnaC6wc8vTxG9gx4X1nRZ7uiMGHCSFw8dSAeyo5sl?comment_id=1197777972543918","Ginood morning ma'am na nga Sha pa ma taray🙄🥹","0","0"
"1253419429959458","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02kmSUZrqDjh1u3GcNcpuBYAActnaC6wc8vTxG9gx4X1nRZ7uiMGHCSFw8dSAeyo5sl?comment_id=1253419429959458","wag na mag enroll next sem ha?daming kuda","0","0"
"4118018948450162","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid0B5zvNj9Xac9kSMWjenV84X4P3xS1BRabQHc3DcmcQvooKCQnya7HyUJzVqx91V3il?comment_id=4118018948450162","meron po, basta always wear ur Id all the time","0","0"
"1478319199930418","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid0bGFu2DaqgdVQuruqTLgc7GZB9RHEz3mdt7PsVWmu2i4SsCjfp5XKzQHZgkwmnRD3l?comment_id=1478319199930418","iba talaga alindog ni ma'am Abegail De Los Santos","1","0"
"1409071667461258","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid0bGFu2DaqgdVQuruqTLgc7GZB9RHEz3mdt7PsVWmu2i4SsCjfp5XKzQHZgkwmnRD3l?comment_id=1409071667461258","Abegail De Los Santos","1","0"
"771670132659366","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02LPw6vjJDr9keC9z3YcQVgY1KJWBUyU5kHYwnERs6wwTSewtNeM1XhjfpcRpnacy2l?comment_id=771670132659366","Ayanna Monato","1","0"
"4437692536458613","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02LPw6vjJDr9keC9z3YcQVgY1KJWBUyU5kHYwnERs6wwTSewtNeM1XhjfpcRpnacy2l?comment_id=4437692536458613","Ashley法 Mikaela","1","0"
"1635960933954041","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02bhV2yp2ci1AZr3JxGjom1ARi12Gz2SvEtAfffHjwuks6EUYMiy2VM72fS4Rdz9efl?comment_id=1635960933954041","hello, interested po sa PE shirt small, may I know how much po ito? tysm !^^","0","0"
"1199439135152417","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02bhV2yp2ci1AZr3JxGjom1ARi12Gz2SvEtAfffHjwuks6EUYMiy2VM72fS4Rdz9efl?comment_id=1199439135152417","pm po","0","0"
"1672989970364828","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid0N6Yw4xisbUv8myQGcQuJJ7XXMVYXi5BSWK8xFnk718EMcXBCjfC5neBrZxyN3gJ5l?comment_id=1672989970364828","baka si John Lester Hertez????","1","0"
"2114906012666159","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02vwikdHB5a4hHbgmeoohZ3MbDmNZejkH2HzrLPj1WkQyXEMERQEffG4he7Ve9V4jcl?comment_id=2114906012666159","nag change po kasi ng password. sini-send naman po siya sa email so paki check nalang ng emails niyo. If wala pa, wait nalang po siguro kayo or visit kayo ICT 👐💕","0","0"
"1931848647748008","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid027FKUoVz13TWFczhWjgGarXcs9Ch8XvDh5Qfk7z1kjgGx6jmTieQGcPvrZyyhBB3Vl?comment_id=1931848647748008","Try mo po mag loan sa UNC 10k din yun","0","0"
"748896840983482","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02CmJeRKMfATR6ydiaqBZkuNW88tgQvuU1cCqWc72pYJZXrkDKsbViANxWKynyBxFHl?comment_id=748896840983482","hello cha","5","0"
"3476361359179093","https://www.facebook.com/greyhoundfreedomwall/posts/pfbid02CmJeRKMfATR6ydiaqBZkuNW88tgQvuU1cCqWc72pYJZXrkDKsbViANxWKynyBxFHl?comment_id=3476361359179093","mag aral puro landi alam","2","0"
