Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Construction Laborer,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Not Higher Education,No,No,Y,,,,,,
Construction Lift Passenger/ Material Elevator Operator,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Construction Painter,Construction,Building completion and finishing,Not Higher Education,No,No,N,,,,,,
Construction Scheduler,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Y,,,,,,
Construction Site Assistant (Foreman),Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Y,,,,,,
Construction Site Technician,Construction,"Construction of buildings, Construction of roads and railways, Construction of utility projects, Construction of other civil engineering projects",Higher Education,No,Yes,Y,,,,,,
Consular Affairs Associate,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,,,,,,
Consumer Electronics Assembler,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No,Y,,,,,,
Contact Center (Call Center) Agent,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,,,,,,
Container Stacker Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Content Editor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,,,,,,
Content Writer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,,,,,,
Control Systems Technician,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,1218,3945,1655,3058,30.87,54.12
Cook,Accommodation and Food Service Activities,Event catering and other food service activities,Not Higher Education,No,No,N,,,,,,
Cook (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Cooling Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,No,Yes,N,,,,,,
Co-op Administrative Support,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Cooperative Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Cooperative Development Officer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,No,N,,,,,,
Corporate Auditor,Accountancy,Activities of holding companies,Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Corporate Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Cost Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Cost Controller,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,,,,,,
Courier,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Courier Scheduler,Transportation and Storage,Courier activities,Higher Education,No,Yes,N,,,,,,
Court Clerk,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,No,Yes,N,,,,,,
Court Stenographer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,,,,,,
"Crane, Hoist and Lift Operator",Transportation and Storage,Warehousing and storage,Not Higher Education,No,No,N,,,,,,
Crawler Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Creative Writing Instructor,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,,,,,,
Criminal Investigator (Registered Criminologist),Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,5743,17576,11121,22539,32.68,49.34
Crop Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,,,,,,
Cruise Cabin Attendant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,,,,,,
Cruise Operations Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,,,,,,
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,N,,,,,,
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,N,,,,,,
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,N,,,,,,
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,,,,,,
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Customs Officer,Customs Brokers,Public administration and defense; compulsory social security,Higher Education,Yes,No,N,1579,2767,1265,2871,57.07,44.06
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,,,,,,
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,,,,,,
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,,,,,,
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,,,,,,
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,,,,,,
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Dental Laboratory Technician ,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Dentist,Dentistry,Medical and dental practice activities,Higher Education,Yes,No,Y,15,20,873,1287,75,67.83
Dermopigmentation/Tattoo Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Design Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2133,4237,1144,3485,50.34,32.83
Development Education Assistant,Professional Teachers,Other Education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,,,,,,
Dialysis Nurse,Social Work,Medical and dental practice activities,Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Digital Background Painting ,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,Y,,,,,,
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,,,,,,
Digital Fabrication Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,,,,,,
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,Y,,,,,,
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,Y,,,,,,
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,N,,,,,,
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Drafting Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,,,,,,
Drafting Technician (Architecture),Architecture,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,2924,4784,2094,3370,61.12,62.14
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Dressmaker,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,N,,,,,,
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Drying And Milling Plant Service Technician,Manufacturing                                                ,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,N,,,,,,
Early Learning Materials Developer,Professional Teachers,Other Education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,,,,,,
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,Y,,,,,,
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,,,,,,
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Economics Instructor,Education,Higher education,Higher Education,No,No,N,,,,,,
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,N,,,,,,
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,,,,,,
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,N,,,,,,
Electric Discharge Machine-Sinking Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,N,,,,,,
Electrical Distribution Engineer,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,1218,3945,1655,3058,30.87,54.12
Electrical Systems Technician,Electrical Engineering,"Electric power generation, transmission and distribution",Higher Education,Yes,No,N,1218,3945,1655,3058,30.87,54.12
Electrical Technician (Automotive),Manufacturing                                                ,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,N,,,,,,
Electronic Products Assembler,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Electronics Design Engineer,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,842,2524,999,2172,33.36,45.99
Electronics Operator,Manufacturing                                                ,Manufacture of electronic components,Not Higher Education,No,No,Y,,,,,,
Electronics Repair Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,,,,,,
Electronics Test Technician,Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,,,,,,
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,N,,,,,,
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,,,,,,
Embedded Systems Technician,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,842,2524,999,2172,33.36,45.99
Embroiderer,Manufacturing                                                ,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,N,,,,,,
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,,,,,,
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Energy Auditors,Manufacturing                                                ,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,Y,,,,,,
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,,,,,,
Engine Repair Specialist,Manufacturing                                                ,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,N,,,,,,
Engineered Bamboo Processor,Manufacturing                                                ,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,,,,,,
Engineering Assistant (Healthcare),Medical Technology,Hospital activities,Higher Education,Yes,No,Y,3892,5401,3872,5574,72.06,69.47
English Education Materials Writer,Education,Other Education,Higher Education,No,No,N,,,,,,
English Subject Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,N,,,,,,
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,Y,,,,,,
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,N,,,,,,
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,N,,,,,,
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ",Remediation activities and other waste management services,Higher Education,No,No,N,,,,,,
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,Y,,,,,,
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,N,,,,,,
ESL Trainer,Education,Other Education,Higher Education,No,No,N,,,,,,
Estimator,Civil Engineering,Warehousing and storage,Higher Education,Yes,No,N,6180,18582,6835,18436,33.26,37.07
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
EV Battery Automotive Mechanic ,Manufacturing                                                ,Manufacture of batteries and accumulators,Not Higher Education,No,No,Y,,,,,,
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,,,,,,
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,N,,,,,,
External Auditor,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Fabric Quality Controller,Manufacturing                                                ,Manufacture of other textiles,Higher Education,No,No,N,,,,,,
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,Y,,,,,,
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Failure Analysis Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,Y,,,,,,
Faith Formation Instructor,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,,,,,,
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Farm Equipment Fabricator,Manufacturing                                                ,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,N,,,,,,
Farm Operations Assistant,Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,615,1841,1479,2625,33.41,56.34
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,,,,,,
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,,,,,,
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,,,,,,
Fashion Designer,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,N,,,,,,
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,N,,,,,,
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,,,,,,
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,N,,,,,,
Field Agronomist Assistant,Agricultural Engineering,Plant propagation,Higher Education,Yes,No,N,615,1841,1479,2625,33.41,56.34
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Field Engineers,Civil Engineering,Construction of buildings,Higher Education,Yes,No,Y,6180,18582,6835,18436,33.26,37.07
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Field Service Technician (Electronics),Manufacturing                                                ,Manufacture of consumer electronics,Higher Education,No,Yes,Y,,,,,,
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Filipino Language Educator,Education,Other Education,Higher Education,No,No,N,,,,,,
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,N,,,,,,
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,,,,,,
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,,,,,,
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,Y,,,,,,
Financial Auditor,Professional Teachers,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,77777,146562,68900,129928,53.07,53.03
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Fish Finder Operator,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,,,,,,
Fish Packaging Worker,Manufacturing                                                ,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,N,,,,,,
Fish Processing Technician,Food Technology,Aquaculture,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Fish Quality Inspector,Food Technology,Fishing,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,,,,,,
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,,,,,,
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,N,,,,,,
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,,,,,,
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,N,,,,,,
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,,,,,,
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,,,,,,
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,N,,,,,,
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,N,,,,,,
Food Processing Worker,Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,,,,,,
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Food Safety Auditor                         ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,N,,,,,,
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Food Technologist,Food Technology,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Foreign Language Teacher (Arabic),Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
Forensic Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,,,,,,
Forestry Extension Assistant,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,1076,1947,928,1574,55.26,58.96
Forging Machine Operator,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,,,,,,
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Foundry Melter,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,,,,,,
Foundry Molder,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,,,,,,
Foundry Patternmaker,Manufacturing                                                ,Casting of metals,Not Higher Education,No,No,N,,,,,,
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,N,,,,,,
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Furniture Maker Finisher,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,N,,,,,,
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,N,,,,,,
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,,,,,,
Garment Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,,,,,,
Gas Welder (Oxy-Acetylene),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Genealogist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
General Subject Basic Education Teacher,Professional Teachers,Primary/elementary education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
General Subject High School Teacher,Professional Teachers,Secondary/high school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Generator Set Tenders,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Geothermal Plant Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Manufacture of gas; distribution of gaseous fuels through mains,Higher Education,No,Yes,N,,,,,,
Geriatric Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,1288,1884,1206,1700,68.37,70.94
GIS & Spatial Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
