Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Job Sector
Architectural and engineering activities and related technical consultancy,15800,10337,15791,10320,9,17,"Professional, Scientific and Technical Activities"
Technical testing and analysis,2271,1053,2271,1053,0,0,"Professional, Scientific and Technical Activities"
Research and experimental development on natural sciences and engineering,1757,1860,1754,1860,4,0,"Professional, Scientific and Technical Activities"
Research and experimental development on social sciences and humanities,1162,1838,1162,1838,0,0,"Professional, Scientific and Technical Activities"
Advertising,4068,3077,4068,3077,0,0,"Professional, Scientific and Technical Activities"
Market research and public opinion polling,522,763,522,763,0,0,"Professional, Scientific and Technical Activities"
Specialized design activities,167,281,167,281,0,0,"Professional, Scientific and Technical Activities"
Photographic activities,697,515,693,515,4,0,"Professional, Scientific and Technical Activities"
"Other professional, scientific and technical activities, n.e.c.",511,410,511,410,0,0,"Professional, Scientific and Technical Activities"
Veterinary activities,720,642,719,639,1,3,"Professional, Scientific and Technical Activities"
"Water collection, treatment and supply",2547,1123,2547,1123,0,0,"Water Supply; Sewerage, Waste Management and Remediation"
Sewerage,811,149,811,149,0,0,"Water Supply; Sewerage, Waste Management and Remediation"
Waste collection,1250,281,1249,281,1,0,"Water Supply; Sewerage, Waste Management and Remediation"
Materials recovery,337,180,335,175,2,5,"Water Supply; Sewerage, Waste Management and Remediation"
