,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FRUIT/VEGETABLE VENDOR|AGROENTREPRENEURSHIP NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FRUIT/VEGETABLE VENDOR,AGROENTREPRENEURSHIP NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|VETERINARY TECHNICIAN|ANIMAL HEALTH CARE AND MANAGEMENT NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,VETERINARY TECHNICIAN,ANIMAL HEALTH CARE AND MANAGEMENT NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNT SPECIALIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNT SPECIALIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,,0,0,0,0,0,0,0,0,,1,2,0,3,3,1,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ACCOUNTING|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ACCOUNTING,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTO ELECTRICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTO ELECTRICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,,1,0,0,1,1,3,0,0,,0,0,0,0,0,3,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|AUTOMOTIVE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),AUTOMOTIVE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,,3,0,0,3,3,4,0,1,,1,0,0,1,1,3,0,1
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|ENGINE TECHNICIAN|AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),ENGINE TECHNICIAN,AUTOMOTIVE SERVICING (ENGINE REPAIR) NC II,WITH TR,,0,0,0,0,0,3,0,0,,1,0,0,1,1,3,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICE (MAINTENANCE)|SMALL ENGINE MECHANIC|MOTORCYCLE/SMALL ENGINE SERVICING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICE (MAINTENANCE),SMALL ENGINE MECHANIC,MOTORCYCLE/SMALL ENGINE SERVICING NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AFTERSALES & SERVICES|AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AFTERSALES & SERVICES,AUTOMOTIVE MECHANIC/VEHICLE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,,0,0,0,0,0,0,0,0,,2,0,0,2,2,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTO BODY REPAIR TECHNICIAN|AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTO BODY REPAIR TECHNICIAN,AUTOMOTIVE SERVICING (CHASSIS REPAIR) NC II,WITH TR,,1,0,0,1,1,3,0,0,,1,0,0,1,1,3,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,WITH TR,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE MECHANIC|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE MECHANIC,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,,2,0,0,2,2,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE PAINTER|AUTOMOTIVE BODY PAINTING/FINISHING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE PAINTER,AUTOMOTIVE BODY PAINTING/FINISHING NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|DISPATCHER (BOOKING/TRIP CONTROLLER)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,DISPATCHER (BOOKING/TRIP CONTROLLER),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVER|DRIVING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVER,DRIVING NC II,WITH TR,,1,0,0,1,1,7,0,0,,1,0,0,1,3,6,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|AUTOMOTIVE AND LAND TRANSPORTATION|PASSENGER ASSISTANT OFFICER (CONDUCTOR)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,AUTOMOTIVE AND LAND TRANSPORTATION,PASSENGER ASSISTANT OFFICER (CONDUCTOR),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|CASHIER|MOTORCYCLE & SMALL ENGINE TECHNICIAN|BOOKKEEPING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,CASHIER,MOTORCYCLE & SMALL ENGINE TECHNICIAN,BOOKKEEPING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DESIGN AND DEVELOPMENT|AUTOMOTIVE PAINTER (SINGLE STAGE PAINTING)|AUTOMOTIVE BODY PAINTING/FINISHING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,DESIGN AND DEVELOPMENT,AUTOMOTIVE PAINTER (SINGLE STAGE PAINTING),AUTOMOTIVE BODY PAINTING/FINISHING NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (PASSENGER BUS) NC III|BUS & PUB DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (PASSENGER BUS) NC III,BUS & PUB DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|DRIVING (STRAIGHT TRUCK) NC III|TRUCK DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,DRIVING (STRAIGHT TRUCK) NC III,TRUCK DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,,7,1,0,8,8,4,0,0,,2,2,0,4,4,3,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|ELECTRICAL INSTALLATION|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,ELECTRICAL INSTALLATION,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,,0,0,0,0,0,0,0,0,,2,0,0,2,2,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|MARKETING AND SALES|MOTORCYCLE & SMALL ENGINE TECHNICIAN|MOTORCYCLE/SMALL ENGINE SERVICING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,MARKETING AND SALES,MOTORCYCLE & SMALL ENGINE TECHNICIAN,MOTORCYCLE/SMALL ENGINE SERVICING NC II,WITH TR,,0,0,0,0,0,1,0,0,,1,1,0,2,2,1,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|RECEPTIONIST|MOTORCYCLE & SMALL ENGINE TECHNICIAN|FRONT OFFICE SERVICES NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,RECEPTIONIST,MOTORCYCLE & SMALL ENGINE TECHNICIAN,FRONT OFFICE SERVICES NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND INSTALLATION|WELDER|AUTOMOTIVE BODY REPAIRING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND INSTALLATION,WELDER,AUTOMOTIVE BODY REPAIRING NC II,WITH TR,,5,1,0,6,6,4,0,0,,1,1,0,2,2,3,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO AIRCON TECHNICIAN|AUTOMOTIVE SERVICING NC III|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO AIRCON TECHNICIAN,AUTOMOTIVE SERVICING NC III,WITH TR,,0,0,0,0,0,0,0,0,,2,0,0,2,2,0,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|REPAIR AND MAINTENANCE|AUTO TECHNICIAN LABORER|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,REPAIR AND MAINTENANCE,AUTO TECHNICIAN LABORER,AUTOMOTIVE SERVICING NC I,WITH TR,,1,0,5,6,6,4,0,0,,2,1,0,3,3,2,0,0
REGION_VII|AUTOMOTIVE AND LAND TRANSPORTATION|TRANPORTATION AND WAREHOUSING|DRIVING|DRIVING NC II|WITH TR,REGION_VII,AUTOMOTIVE AND LAND TRANSPORTATION,TRANPORTATION AND WAREHOUSING,DRIVING,DRIVING NC II,WITH TR,,0,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,0
REGION_VII|CONSTRUCTION|BUILDING WIRING|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,BUILDING WIRING,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,6,2,0,8,8,0,0,2,,2,2,0,4,4,1,0,1
REGION_VII|CONSTRUCTION|COMMUNITY AND ECOSYSTEM CONSIDERATION|COMMUNITY WORKERS/LIAISON OFFICER|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|WITH CS,REGION_VII,CONSTRUCTION,COMMUNITY AND ECOSYSTEM CONSIDERATION,COMMUNITY WORKERS/LIAISON OFFICER,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,WITH CS,,6,2,0,8,8,3,0,0,,2,2,0,4,4,1,0,0
REGION_VII|CONSTRUCTION|COMPLYING ENVIRONMENTAL LAWS AND STANDARDS|PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|WITH CS,REGION_VII,CONSTRUCTION,COMPLYING ENVIRONMENTAL LAWS AND STANDARDS,PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,WITH CS,,6,2,0,8,8,3,0,0,,2,2,0,4,4,1,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|DUMPTRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID ON-HIGHWAY DUMP TRUCK) NC II|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,DUMPTRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID ON-HIGHWAY DUMP TRUCK) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,3,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|MOBILE CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (ROUGH TERRAIN CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,MOBILE CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (ROUGH TERRAIN CRANE) NC III,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|RIGGER|RIGGING NC I|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,RIGGER,RIGGING NC I,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TOWER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKER EQUIPMENT OPERATORS AND MAINTENANCE VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TOWER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL|MASONRY (FINISHING)|MASONRY NC II|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL,MASONRY (FINISHING),MASONRY NC II,WITH TR,,1,0,0,1,1,2,0,0,,2,0,0,2,2,4,0,0
REGION_VII|CONSTRUCTION|DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL|MASONRY (ROUGH CONCRETE)|MASONRY NC I|WITH TR,REGION_VII,CONSTRUCTION,DIRECT WORKERS VERTICAL INDUSTRIAL HORIZONTAL,MASONRY (ROUGH CONCRETE),MASONRY NC I,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR,REGION_VII,CONSTRUCTION,DRIVING,DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,,5,1,0,6,6,4,0,0,,1,2,0,3,3,1,0,0
REGION_VII|CONSTRUCTION|ELECTRICAL INSTALLATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR,REGION_VII,CONSTRUCTION,ELECTRICAL INSTALLATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|CONCRETE PUMP OPERATOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,CONCRETE PUMP OPERATOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|EQUIPMENT OPERATORS AND MAINTENANCE|HEO TOWER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,EQUIPMENT OPERATORS AND MAINTENANCE,HEO TOWER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (TOWER CRANE) NC III,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
"REGION_VII|CONSTRUCTION|HELPER MASON, CONSTRUCTION HELPER|MASON|MASONRY NC I|WITH TR",REGION_VII,CONSTRUCTION,"HELPER MASON, CONSTRUCTION HELPER",MASON,MASONRY NC I,WITH TR,,6,2,0,8,8,0,0,0,,2,2,0,4,4,1,0,0
"REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION
DIRECT WORKERS|ROAD ROLLER OPERATOR|HEAVY EQUIPMENT OPERATION (ROAD ROLLER) NC II|WITH TR",REGION_VII,CONSTRUCTION,"HORIZONTAL CONSTRUCTION
DIRECT WORKERS",ROAD ROLLER OPERATOR,HEAVY EQUIPMENT OPERATION (ROAD ROLLER) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,3,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|BIM MODELER|BASIC 3D BUILDING INFORMATION MODELLING LEVEL III|WITH CS,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,BIM MODELER,BASIC 3D BUILDING INFORMATION MODELLING LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,,0,0,0,0,0,5,0,0,,5,0,0,5,6,6,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,6,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CARBON STEEL PLATE/ PIPE WELDER|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CARBON STEEL PLATE/ PIPE WELDER,MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,,0,0,0,0,0,0,0,0,,5,0,0,5,6,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CIVIL ENGINEERING ASSOCIATE|DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CIVIL ENGINEERING ASSOCIATE,DIPLOMA PROGRAM IN CIVIL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION SITE SUPERVISOR|CONSTRUCTION SITE SUPERVISION LEVEL IV|WITH CS,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION SITE SUPERVISOR,CONSTRUCTION SITE SUPERVISION LEVEL IV,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|CONSTRUCTION TRADE SUPERVISOR|CONSTRUCTION TRADE SUPERVISION LEVEL IV|WITH CS,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,CONSTRUCTION TRADE SUPERVISOR,CONSTRUCTION TRADE SUPERVISION LEVEL IV,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|SENIOR PAINTER|CONSTRUCTION PAINTING NC III|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,SENIOR PAINTER,CONSTRUCTION PAINTING NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TIG PLATE WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TIG PLATE WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WAREHOUSEMAN (EXTERNAL)|WAREHOUSING SERVICES NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WAREHOUSEMAN (EXTERNAL),WAREHOUSING SERVICES NC II,WITH TR,,1,0,0,1,1,4,0,0,,1,0,0,1,1,5,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|WAREHOUSEMAN (INTERNAL)|WAREHOUSING SERVICES NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,WAREHOUSEMAN (INTERNAL),WAREHOUSING SERVICES NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,5,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|CRAWLER CRANE OPERATOR|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,CRAWLER CRANE OPERATOR,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION|FORKLIFT OPERATOR|HEAVY EQUIPMENT OPERATION (FORKLIFT) NC II|WITH TR,REGION_VII,CONSTRUCTION,HORIZONTAL CONSTRUCTION VERTICAL CONSTRUCTION,FORKLIFT OPERATOR,HEAVY EQUIPMENT OPERATION (FORKLIFT) NC II,WITH TR,,3,0,0,3,3,4,0,0,,1,0,0,1,1,3,0,0
