Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
Culinary Tour Assistant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,35-9011 ,-1.9363931399533263,0.49500000000000005
Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-2032,-1.709171930211702,0.6763888888888888
Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,25-4012,0.641460704726019,0.6888888888888888
Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,25-9031,1.2641879840632628,0.6875
Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,43-4171 ,0.9380611170416764,0.47138888888888886
Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,43-4171 ,0.9380611170416764,0.47138888888888886
Customs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,Yes,No,33-3051,-0.2015633544863827,0.6658333333333333
Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,15-1299,1.388784111523391,0.6486111111111111
Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,15-1151 ,1.388784111523391,0.6150427350427351
Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,19-4011,1.2714488780375863,0.6075531914893617
Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-2032,-1.709171930211702,0.6763888888888888
Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,15-1242,1.2712595915227325,0.5430555555555555
Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,19-3022,1.4096937817690525,0.6063888888888888
Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,43-9021,0.2125348485545427,0.4877777777777777
Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,43-9021,0.2125348485545427,0.4877777777777777
Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,43-9071 ,-0.6214765663896835,0.43333333333333335
Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,15-1242,1.2712595915227325,0.5430555555555555
Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,43-9111,1.2270180182376416,0.538611111111111
Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,15-1151 ,1.388784111523391,0.6150427350427351
Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,43-5021,-1.0667742938745437,0.5847222222222223
Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,31-9091,-0.5333720364723773,0.6322222222222221
Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,31-9091,-0.5333720364723773,0.6322222222222221
Dental Laboratory Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,51-9082,-0.5991104850042395,0.6347222222222222
Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,29-1029,0.1094915985855913,0.6555917874396134
Dermopigmentation/Tattoo Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,39-3099 ,-0.620764093503558,0.6422222222222221
Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,17-2112,0.45342778924357,0.6388888888888888
Development Education Assistant,Education,Other Education,Higher Education,Yes,No,21-1093,0.7040484605627692,0.6691666666666666
Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,13-1151 ,1.125301054038325,0.6319444444444445
Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,25-1199,0.7243196041937822,0.695328282828283
Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,29-1171 ,0.1870677616945953,0.7450000000000001
Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,51-8013,-0.7095238336216172,0.6508333333333333
Digital Background Painting,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,27-1014,0.6104659406880933,0.6152777777777777
Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,15-1134 ,1.388784111523391,0.6150427350427351
Digital Fabrication Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,51-4199,-0.9310742592864004,0.5342866161616162
Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,27-3043 ,0.697709572118294,0.4580555555555555
Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,41-9031,1.1301939761299715,0.6194444444444445
Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,15-1299,1.388784111523391,0.6486111111111111
Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,43-9051,-0.9250415251550858,0.5691666666666667
Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,43-5032,1.096197891448219,0.6255555555555555
Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,13-1199,0.437657911612694,0.6741666666666667
Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,43-9071 ,-0.6214765663896835,0.43333333333333335
Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,27-1012 ,-0.9646161941936396,0.4680555555555555
Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,47-2132,-1.4953485752730538,0.6055555555555555
Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,33-9093 ,-0.6111767983055003,0.5377777777777778
Drafting Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,27-1013 ,-0.673807460441017,0.4575
Drafting Technician (Architecture),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,27-1013 ,-0.673807460441017,0.4575
Draftsman,Construction,Other specialized construction activities,Not Higher Education,No,No,27-1013 ,-0.673807460441017,0.4575
Dressmaker,Manufacturing,Custom tailoring and dressmaking,Not Higher Education,No,No,51-6052,-0.6481493237110207,0.5277777777777778
Drilling Rig Operators,Construction,Construction of utility projects,Not Higher Education,No,No,47-5044,-1.2177892916299509,0.5613888888888888
Drying And Milling Plant Service Technician,Manufacturing,"Manufacture of grain mill products, starches and starch products",Not Higher Education,No,No,53-7011,-0.8615378559687488,0.5313888888888889
Early Learning Materials Developer,Education,Other Education,Higher Education,Yes,No,25-9031,1.2641879840632628,0.6875
Ecological Survey Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,29-9092 ,1.438219081204524,0.6302777777777777
E-Commerce Data Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,15-1242,1.2712595915227325,0.5430555555555555
E-Commerce Support Associate,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,43-4171 ,0.9380611170416764,0.47138888888888886
Economic Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,19-3011,1.295165094767305,0.5702777777777778
Economic Policy Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,19-3011,1.295165094767305,0.5702777777777778
Economics Instructor,Education,Higher education,Higher Education,No,No,19-3011,1.295165094767305,0.5702777777777778
Eco-Tourism Guide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,39-7012,0.3764566491069931,0.6594444444444444
Eco-Tourism Program Aide,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,43-4181,0.1283902150875194,0.5544444444444444
Eco-Tourism Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,43-4181,0.1283902150875194,0.5544444444444444
Editorial Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,27-3041 ,1.0358423916827189,0.6130555555555556
Education Program Assistant,Education,Other Education,Higher Education,No,Yes,25-9041 ,0.7243196041937822,0.695328282828283
Electric Discharge Machine-Sinking Operator,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,51-4122 ,-1.063027898104206,0.5352777777777777
Electric Power Distribution Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,49-9051,-1.3437172814565186,0.7380555555555556
Electrical Appliance Servicer,Other Service Activities,Repair of personal and household goods,Higher Education,No,No,49-2096,-0.8979936866701642,0.6011111111111112
Electrical Distribution Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,17-2071,0.9969931335605552,0.6638888888888889
Electrical Systems Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Higher Education,Yes,No,17-3024,-0.3880986218292488,0.6072222222222222
Electrical Technician (Automotive),Manufacturing,Manufacture of parts and accessories for motor vehicles,Not Higher Education,No,No,17-3024,-0.3880986218292488,0.6072222222222222
Electronic Products Assembler,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,51-9194,-0.7447411756253555,0.5002777777777777
Electronics Design Engineer,Manufacturing,Manufacture of electronic components,Higher Education,Yes,No,17-2072 ,0.701947303775666,0.6055555555555556
Electronics Operator,Manufacturing,Manufacture of electronic components,Not Higher Education,No,No,51-9194,-0.7447411756253555,0.5002777777777777
Electronics Repair Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,17-3023,0.1471846227656904,0.6161111111111112
Electronics Test Technician,Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,53-6041,0.3019680057418284,0.5769444444444444
Elevator Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,53-6021,-0.9420404982909312,0.5530555555555555
Elevator Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,17-3029,-0.1241277124519403,0.5558333333333333
Elevator Installer,Construction,Other specialized construction activities,Not Higher Education,No,No,17-3029,-0.1241277124519403,0.5558333333333333
Embalmer,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,39-4031,-0.3778399087854373,0.7138888888888889
Embassy Administrative Attaché,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Embedded Systems Developer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,15-1133,1.388784111523391,0.6150427350427351
Embedded Systems Technician,Manufacturing,Manufacture of electronic components,Higher Education,Yes,No,49-9052,-1.1924358138797408,0.6463888888888889
Embroiderer,Manufacturing,Manufacture of knitted and crocheted apparel,Not Higher Education,No,No,51-6051,-0.8079271349688679,0.43722222222222235
Emergency Medical Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,29-2041 ,0.1094915985855913,0.6555917874396134
Emergency Response Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,29-2041 ,0.1094915985855913,0.6555917874396134
Employee Engagement Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,21-1012 ,1.321753213546424,0.6652777777777777
Energy Auditors,Manufacturing,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,No,No,17-3024,-0.3880986218292488,0.6072222222222222
Energy Conservation Officer,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,17-3024,-0.3880986218292488,0.6072222222222222
Engine Repair Specialist,Manufacturing,"Repair of fabricated metal products, machinery and equipment",Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Engineered Bamboo Processor,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,51-7042,-1.2391948240029296,0.5302777777777778
Engineering Assistant (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,17-3029,-0.1241277124519403,0.5558333333333333
English Education Materials Writer,Education,Other Education,Higher Education,No,No,25-9031,1.2641879840632628,0.6875
English Subject Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,25-3099 ,0.7243196041937822,0.695328282828283
Enterprise Development Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,15-1151 ,1.388784111523391,0.6150427350427351
Enumerator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Not Higher Education,No,No,43-4111 ,1.1873154955236864,0.5880555555555556
Environment and Occupational Safety and Health Specialist (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,29-9011 ,0.1094915985855913,0.6555917874396134
"Environment, Safety & Health Officers",Construction,Construction of utility projects,Higher Education,No,No,53-6051,-0.6654977504716957,0.6516666666666667
Environmental Compliance Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,17-2081,1.3254379616673335,0.6652777777777777
Environmental Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,No,19-2041 ,1.317259559340737,0.6222222222222222
Environmental Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,17-2081,1.3254379616673335,0.6652777777777777
Environmental Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,29-9011 ,0.1094915985855913,0.6555917874396134
Environmental Impact Analyst,"Water Supply; Sewerage, Waste Management and Remediation",Remediation activities and other waste management services,Higher Education,No,No,19-2041 ,1.317259559340737,0.6222222222222222
Equipment Dispatchers,Construction,Construction of utility projects,Not Higher Education,No,No,43-5111,-0.2879861004655045,0.5297222222222222
Equipment Technicians,Construction,Construction of utility projects,Not Higher Education,No,No,17-3024,-0.3880986218292488,0.6072222222222222
Equipment Tool Keepers,Construction,Other specialized construction activities,Not Higher Education,No,No,43-5111,-0.2879861004655045,0.5297222222222222
Erection Crew,Construction,Construction of buildings,Not Higher Education,No,No,47-3019,-1.2533360568016358,0.6453038194444444
ESL Curriculum Assistant,Education,Other Education,Higher Education,No,Yes,25-9031,1.2641879840632628,0.6875
ESL Trainer,Education,Other Education,Higher Education,No,No,13-1151 ,1.125301054038325,0.6319444444444445
Estimator,Transportation and Storage,Warehousing and storage,Higher Education,Yes,No,17-2199,0.4263545424838554,0.6944444444444443
Ethics Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,25-1199,0.7243196041937822,0.695328282828283
EU Policy Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,13-1199,0.437657911612694,0.6741666666666667
EV Battery Automotive Mechanic,Manufacturing,Manufacture of batteries and accumulators,Not Higher Education,No,No,49-2093,-0.9370531767463328,0.6527777777777778
Events Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,13-1121,0.2761211053711379,0.6833333333333332
Executive Assistant (Airline),Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Executive Secretary,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Exercise Physiologist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,19-1099,1.2714488780375863,0.6075531914893617
Exhibit Design Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,27-1029,0.6558359528610636,0.5456893004115226
Exhibits Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,25-4012,0.641460704726019,0.6888888888888888
Export Brokerage Clerk,Transportation and Storage,"Freight air transport, Sea and coastal water transport",Higher Education,No,Yes,33-3051,-0.2015633544863827,0.6658333333333333
External Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Eyelash And Eyebrow Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,39-5094,-0.2689427099948295,0.6108333333333333
Fabric Quality Controller,Manufacturing,Manufacture of other textiles,Higher Education,No,No,51-9031,-1.0554923729099774,0.3483333333333334
Facilities Management Assistant,Administrative and Support Service Activities,Landscape care and maintenance service activities,Higher Education,No,Yes,37-2011,-1.5455201611166942,0.5955555555555555
Facility Cleaning Specialist,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,53-7061,-1.8046194638439987,0.5675
Failure Analysis Technician,Manufacturing,Manufacture of electronic components,Higher Education,No,Yes,53-6041,0.3019680057418284,0.5769444444444444
Faith Formation Instructor,Education,Other education services,Higher Education,Yes,No,25-2022,1.2027852810311723,0.7202777777777779
Faith-Based NGO Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,21-1012 ,1.321753213546424,0.6652777777777777
Family Life Educator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,25-2012,0.2664166698232021,0.6813888888888889
Family Welfare Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,21-1093,0.7040484605627692,0.6691666666666666
Farm Equipment Fabricator,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",Not Higher Education,No,No,49-9081,-1.1488319558659998,0.7641666666666665
Farm Operations Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,19-4071,-0.7727476275783224,0.7088888888888888
Farm Systems Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,19-4011,1.2714488780375863,0.6075531914893617
Farm Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,19-4011,1.2714488780375863,0.6075531914893617
Farm Tour Assistant,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,39-7012,0.3764566491069931,0.6594444444444444
Fashion Designer,Manufacturing,"Manufacture of wearing apparel, except fur apparel",Not Higher Education,No,No,27-1029,0.6558359528610636,0.5456893004115226
Fashion Exhibition Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,41-2031,-0.0126357253616764,0.5533333333333333
Fashion Merchandising Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale in Specialized Stores,Higher Education,No,Yes,27-3043 ,0.697709572118294,0.4580555555555555
Fiber Optic Cable Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,49-9052,-1.1924358138797408,0.6463888888888889
Fiber Optic Technician,Information and Communication,Wired telecommunications activities,Higher Education,No,Yes,29-2081,0.1100039689672668,0.6022222222222223
Field Agronomist Assistant,"Agriculture, Forestry, and Fishing",Plant propagation,Higher Education,Yes,No,19-4011,1.2714488780375863,0.6075531914893617
Field Development Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,13-1151 ,1.125301054038325,0.6319444444444445
Field Engineers,Construction,Construction of buildings,Higher Education,Yes,No,17-2051 ,1.2938017753796889,0.6349999999999999
Field Science Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,31-9092,0.0465463218063895,0.5872222222222223
Field Service Technician (Electronics),Manufacturing,Manufacture of consumer electronics,Higher Education,No,Yes,17-3023,0.1471846227656904,0.6161111111111112
Filipino Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-3031 ,1.1520491300591629,0.6141666666666666
Filipino Language Educator,Education,Other Education,Higher Education,No,No,25-3099 ,0.7243196041937822,0.695328282828283
Filipino Sign Language Interpreter,Other Service Activities,"Other personal service activities, n.e.c.",Not Higher Education,No,No,27-3091,0.9909846410343952,0.6288888888888889
Film and Video Editor,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,27-4032 ,0.8385755305279295,0.5563888888888889
Finance Assistant (Cooperatives),Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,43-3031,0.946928146277296,0.5122222222222222
Finance Associate,Financial and Insurance Activities,"Other financial service activities, except insurance and pension funding activities",Higher Education,No,Yes,43-3031,0.946928146277296,0.5122222222222222
Financial Auditor,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Finishing Mason,Construction,Construction of buildings,Not Higher Education,No,No,47-4091 ,-1.0905341706192582,0.6286111111111111
First-Aider,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,31-9099,-0.6063787257456854,0.5780555555555554
Fish Finder Operator,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,49-9069 ,-1.1924358138797408,0.6663435374149659
Fish Packaging Worker,Manufacturing,"Processing and preserving of fish, crustaceans and mollusks",Not Higher Education,No,No,51-3091 ,-0.8649918010858667,0.4733333333333334
Fish Processing Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,Yes,No,51-3091 ,-0.8649918010858667,0.4733333333333334
Fish Quality Inspector,"Agriculture, Forestry, and Fishing",Fishing,Higher Education,Yes,No,45-2011 ,0.0711303766439146,0.5997222222222222
Fishery Operations Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,45-2093,-1.2171340525284933,0.5847222222222223
Fishnet Maker,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,51-6041,-0.9817178812461512,0.48583333333333334
Fitness Instructor,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,No,39-9031,-2.1445563057878494,0.6602777777777779
Fitness Testing Technician,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,53-6041,0.3019680057418284,0.5769444444444444
Fixed Wireless Broadband Installer,Information and Communication,Wireless telecommunications activities,Not Higher Education,No,No,49-9052,-1.1924358138797408,0.6463888888888889
Flight Dispatch Officer,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,43-5032,1.096197891448219,0.6255555555555555
Flight Engineers,Transportation and Storage,Support activities for transportation,Higher Education,No,No,53-2012,-0.2948126054393197,0.7225
Flight Operations Assistant,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,Yes,49-3011,-0.7906103718784216,0.6955555555555555
Florist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,51-9083 ,-0.7015575324103009,0.4725
Food and Beverage Attendant,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,Yes,35-3041 ,-0.8717900205685837,0.5930555555555556
Food Processing Worker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,51-3091 ,-0.8649918010858667,0.4733333333333334
Food Product Developer,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-1012,-0.2372197068437902,0.57
Food Safety Auditor,Manufacturing,Manufacture of other food products,Higher Education,Yes,No,13-1041,1.4521896339599962,0.5352777777777777
Food Safety Officer,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,53-6051,-0.6654977504716957,0.6516666666666667
Food Service Worker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,35-9011 ,-1.9363931399533263,0.49500000000000005
Food Technologist,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,25-9021,0.7243196041937822,0.706111111111111
Foreign Affairs Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,13-1111,1.3006800926946551,0.6147222222222223
Foreign Language Teacher (Arabic),Education,Other education services,Higher Education,Yes,No,25-3099 ,0.7243196041937822,0.695328282828283
Foreign Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,13-1199,0.437657911612694,0.6741666666666667
Forensic Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,13-2082,1.292814017959408,0.45416666666666666
Forensic Lab Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,53-6041,0.3019680057418284,0.5769444444444444
Forensic Laboratory Analyst,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,53-6041,0.3019680057418284,0.5769444444444444
Forestry Extension Assistant,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,25-9021,0.7243196041937822,0.706111111111111
Forging Machine Operator,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,51-4199 ,-0.9310742592864004,0.5342866161616162
Forklift Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,53-7051 ,-1.4016165018010325,0.6272222222222222
Forklift Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,53-7051 ,-1.4016165018010325,0.6272222222222222
Formworks Crew,Construction,Construction of buildings,Not Higher Education,No,No,47-3019,-1.2533360568016358,0.6453038194444444
Foundry Melter,Manufacturing,Casting of metals,Not Higher Education,No,No,51-9022,-1.1585726962346108,0.4891666666666667
Foundry Molder,Manufacturing,Casting of metals,Not Higher Education,No,No,51-4072 ,-1.2551153089815006,0.5399999999999999
Foundry Patternmaker,Manufacturing,Casting of metals,Not Higher Education,No,No,51-4192,-0.8279343464389866,0.5347222222222222
Freight and Furniture Handlers,Transportation and Storage,Freight air transport,Not Higher Education,No,No,53-7121,-1.4985219575636737,0.6941666666666667
Front End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,15-1133,1.388784111523391,0.6150427350427351
Front Office Agent,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,43-4171,0.9380611170416764,0.47138888888888886
Front-End Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,15-1134 ,1.388784111523391,0.6150427350427351
Front-End Web Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,15-1134 ,1.388784111523391,0.6150427350427351
Furniture Maker Finisher,Manufacturing,Manufacture of furniture,Not Higher Education,No,No,51-2099,-0.9310742592864004,0.5342866161616162
Game Designer,Information and Communication,Other information service activities,Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
Game Programmer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
