,Communication,Responsibility,Physical,Criticality,Routine,Skills
13-2071.00,0.57,0.18,0.23,0.6766666666666665,0.63,0.8
13-2072.00,0.655,0.53,0.385,0.77,0.65,0.8
13-2081.00,0.46,0.34,0.275,0.6766666666666665,0.635,0.6
13-2082.00,0.47,0.255,0.205,0.6,0.595,0.6
13-2099.01,0.59,0.325,0.195,0.6233333333333333,0.65,1.0
13-2099.04,0.635,0.555,0.37,0.7133333333333333,0.71,0.8
15-1211.00,0.565,0.495,0.26,0.6366666666666666,0.73,0.6
15-1211.01,0.635,0.56,0.3,0.6066666666666667,0.76,1.0
15-1212.00,0.57,0.4,0.325,0.6366666666666666,0.755,0.8
15-1221.00,0.725,0.44,0.175,0.5666666666666667,0.71,1.0
15-1231.00,0.59,0.465,0.34,0.6733333333333333,0.755,0.8
15-1232.00,0.61,0.7,0.295,0.7633333333333333,0.79,0.6
15-1241.00,0.62,0.48,0.34,0.6266666666666666,0.685,0.8
15-1241.01,0.62,0.56,0.43,0.62,0.715,0.6
15-1242.00,0.35,0.445,0.19,0.7733333333333333,0.7,0.8
15-1243.00,0.59,0.385,0.205,0.6333333333333333,0.68,0.8
15-1243.01,0.545,0.27,0.225,0.5166666666666666,0.69,0.8
15-1244.00,0.505,0.335,0.325,0.5733333333333333,0.695,0.8
15-1251.00,0.635,0.245,0.22,0.4433333333333333,0.64,0.8
15-1252.00,0.33,0.435,0.09,0.54,0.745,0.8
15-1253.00,0.64,0.375,0.275,0.5766666666666667,0.635,0.8
15-1254.00,0.535,0.37,0.225,0.63,0.76,0.6
15-1255.01,0.635,0.325,0.265,0.5166666666666666,0.78,0.8
15-1299.01,0.575,0.355,0.235,0.6333333333333333,0.705,0.8
15-1299.02,0.605,0.36,0.35,0.5566666666666666,0.625,0.6
15-1299.03,0.655,0.4,0.26,0.56,0.615,0.8
15-1299.05,0.54,0.435,0.215,0.62,0.645,0.8
15-1299.08,0.53,0.47,0.295,0.6766666666666665,0.66,0.6
15-1299.09,0.71,0.655,0.31,0.6366666666666666,0.78,0.8
15-2011.00,0.6,0.325,0.215,0.5266666666666666,0.7,0.8
15-2021.00,0.655,0.28,0.205,0.5033333333333333,0.825,1.0
15-2031.00,0.6,0.39,0.215,0.5033333333333333,0.72,1.0
15-2041.00,0.64,0.355,0.22,0.5766666666666667,0.755,1.0
15-2041.01,0.595,0.39,0.215,0.5433333333333333,0.775,1.0
15-2051.01,0.6,0.31,0.22,0.6,0.72,0.8
15-2051.02,0.545,0.375,0.245,0.4933333333333333,0.7,0.8
15-2099.01,0.55,0.49,0.315,0.5366666666666666,0.62,0.8
17-1011.00,0.665,0.555,0.475,0.6233333333333333,0.73,1.0
17-1012.00,0.615,0.525,0.485,0.5366666666666666,0.715,0.8
17-1021.00,0.61,0.37,0.4,0.58,0.66,0.8
17-1022.00,0.61,0.73,0.725,0.7066666666666666,0.66,0.8
17-1022.01,0.605,0.5,0.59,0.5566666666666666,0.63,0.8
17-2011.00,0.665,0.465,0.32,0.5933333333333333,0.815,0.8
17-2021.00,0.58,0.605,0.545,0.5833333333333333,0.75,0.8
17-2031.00,0.605,0.57,0.275,0.5333333333333333,0.705,0.8
17-2041.00,0.635,0.63,0.455,0.6933333333333332,0.705,0.8
17-2051.00,0.635,0.55,0.445,0.6966666666666665,0.71,0.8
17-2051.01,0.635,0.645,0.48,0.6566666666666666,0.705,0.8
17-2051.02,0.685,0.57,0.47,0.54,0.745,0.8
17-2061.00,0.605,0.475,0.27,0.5366666666666666,0.665,0.8
17-2071.00,0.625,0.61,0.425,0.7233333333333333,0.8,0.8
17-2072.00,0.605,0.36,0.275,0.56,0.855,0.8
17-2072.01,0.62,0.485,0.29,0.6533333333333333,0.785,0.8
17-2081.00,0.625,0.71,0.52,0.5966666666666667,0.74,0.8
17-2111.00,0.725,0.675,0.53,0.7033333333333333,0.76,0.8
17-2111.02,0.595,0.58,0.4,0.6166666666666667,0.78,0.8
17-2112.00,0.75,0.635,0.345,0.71,0.785,0.8
17-2112.01,0.675,0.615,0.47,0.59,0.85,1.0
17-2112.02,0.675,0.495,0.37,0.62,0.78,0.8
17-2112.03,0.685,0.66,0.39,0.6233333333333333,0.675,0.8
17-2121.00,0.61,0.525,0.585,0.6366666666666666,0.78,0.8
17-2131.00,0.685,0.675,0.32,0.5733333333333333,0.735,0.8
17-2141.00,0.665,0.605,0.36,0.6433333333333333,0.78,0.8
17-2141.01,0.645,0.615,0.31,0.5066666666666666,0.695,0.8
17-2141.02,0.705,0.61,0.43,0.59,0.745,0.8
17-2151.00,0.615,0.575,0.475,0.6433333333333333,0.795,0.8
17-2161.00,0.57,0.635,0.36,0.6033333333333333,0.745,0.8
17-2171.00,0.69,0.675,0.295,0.6333333333333333,0.82,0.8
17-2199.03,0.625,0.635,0.37,0.5933333333333333,0.75,0.8
17-2199.05,0.655,0.535,0.27,0.6766666666666665,0.81,0.8
