,SOC,AIOE
53976,39-3012,0.4489336907314594
54080,39-3021,-0.3233619428562851
54184,39-3031,-0.2548065099278889
54288,39-3091,-0.4349652921267504
54392,39-3092,-0.46499573768770736
54496,39-3093,-0.35775655989512506
54600,39-4011,-0.7407051063777003
54704,39-4021,-0.527252090565695
54808,39-4031,-0.28778644526116204
54912,39-5011,-0.7396506495011929
55016,39-5012,-0.6928416342196729
55120,39-5091,-0.4418282128508959
55224,39-5092,0.01937730353402929
55328,39-5093,-0.914664155105471
55432,39-5094,-0.18024459326191497
55536,39-6011,-1.2793686943803466
55640,39-6012,1.0952697706799905
55744,39-7011,0.7230050765590943
55848,39-7012,0.45712205278374385
56056,39-9011,-0.5276871682377668
56160,39-9031,-2.032514091161482
56264,39-9032,-0.2568769359694845
56368,39-9041,0.4580981599659544
56472,41-1011,0.005064176078184075
56576,41-1012,1.1995890255863049
56680,41-2011,-0.23951284827888622
56784,41-2012,-0.06376697279619538
56888,41-2021,0.06407874300979735
56992,41-2022,-0.13224971666617097
57096,41-2031,0.07287236579588902
57200,41-3011,1.142546492418163
57304,41-3021,1.3203041108213494
57408,41-3031,1.3845650222938723
57512,41-3041,1.113690531782509
57720,41-4011,1.1229674482784473
57824,41-4012,0.5942710786121906
57928,41-9011,0.10892112800025347
58032,41-9012,-1.2484923373000123
58136,41-9021,1.1296599749578773
58240,41-9022,0.8464439460871345
58344,41-9031,1.2014782802095343
58448,41-9041,1.1514671416056623
58552,41-9091,1.0872801104918755
58656,43-1011,1.0192788609206607
58760,43-2011,0.9192906539680402
58864,43-2021,0.9538999620854768
58968,43-3011,1.2514394559345414
59072,43-3021,1.0807112220660013
59176,43-3031,1.0204933974998105
59280,43-3041,0.24443548801159767
59384,43-3051,1.15899934410769
59488,43-3061,1.2144813362844789
59592,43-3071,0.4564010279811129
59696,43-4011,1.124993195325762
59800,43-4021,1.2437219912088882
59904,43-4031,0.8886385414987181
60008,43-4041,1.2549456354509678
60112,43-4051,1.0363118660735426
60216,43-4061,1.2169332707425615
60320,43-4071,0.2608394718195906
60424,43-4081,0.589195436762273
60528,43-4111,1.2578888587444599
60632,43-4121,0.18885739259391257
60736,43-4131,1.3433078190848664
60840,43-4141,1.075625527753201
60944,43-4151,1.1100876671010436
61048,43-4161,1.3320301230028002
61152,43-4171,1.0117367283079466
61256,43-4181,0.2121430815192957
61464,43-5011,0.9292408184875
61568,43-5021,-0.9681462754612661
61672,43-5031,0.8618669629198157
61776,43-5032,1.1679053146236258
61880,43-5041,-0.9813091759418293
61984,43-5051,-0.5299295616995748
62088,43-5052,-1.0731643438722376
62192,43-5053,-1.192775503023034
62296,43-5061,0.8309021883201236
62400,43-5071,-0.7563964437120684
62504,43-5111,-0.19905096755166246
62608,43-6011,1.0600457450196432
62712,43-6012,0.8861546123773251
62816,43-6013,1.0337143779854754
62920,43-6014,1.0792977885038806
63024,43-9021,0.2952404414086115
63128,43-9022,0.6047786521240088
63232,43-9031,0.6207839715000456
63336,43-9041,1.0618111569602473
63440,43-9051,-0.828177528731795
63544,43-9061,0.9698125993622836
63648,43-9071,-0.5283907736061705
63752,43-9081,1.2676737861722216
63856,43-9111,1.2970972393926237
