Sector,Course,Link,Hours,Core,Common,Basic,Elective,Codes
Automotive and Land Transportation,Automotive Servicing NC III,https://tesdatrainingcourses.com/automotive-servicing-nc-iii.html,596*,"[{'ALT723316': 'Test and Repair Electrical Security System/Components'}, {'ALT723317': 'Service Electronic Engine Management'}, {'ALT723318': 'Overhaul Engines and Associated Components'}, {'ALT723319': 'Service Automatic Transmission'}, {'ALT723320': 'Perform Maintenance Service Check-Up and Repair to Auto AC System'}, {'ALT723353': 'Remove and Replace Automotive Engine and Engine-Related Systems'}, {'ALT723358': 'Service and repair electronically controlled steering systems'}, {'ALT723359': 'Service and repair electronically controlled suspension systems'}, {'ALT723360': 'Repair Instruments and warning systems'}, {'ALT723361': 'Carry out diagnostic procedures'}]","[{'ALT723201': 'Apply Appropriate Sealant/Adhesive'}, {'ALT723202': 'Move and Position Vehicle'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}, {'ALT311204': 'Perform Job Estimate'}, {'ALT311205': 'Interpret/Draw Technical Drawing'}, {'ALT723206': 'Practice health, safety and environment procedures'}, {'ALT311207': 'Inspect technical quality of work'}, {'ALT311208': 'Maintain quality systems'}, {'ALT311209': 'Provide work skill instructions'}, {'ALT723210': 'Identify and select original automotive parts and products'}]","[{'500311109': 'Lead Workplace Communication'}, {'500311110': 'Lead Small Teams'}, {'500311111': 'Develop and Practice Negotiation skills'}, {'500311112': 'Solve Problems Related to Work Activities'}, {'500311113': 'Use Mathematical Concepts and Techniques'}, {'500311114': 'Use Relevant Technologies'}]","[{'ALT723350': 'Install LPG Conversion Kit'}, {'ALT723351': 'Test and Adjust LPG Calibration'}, {'ALT723352': 'Service LPG System'}]","['ALT723316', 'ALT723317', 'ALT723318', 'ALT723319', 'ALT723320', 'ALT723353', 'ALT723358', 'ALT723359', 'ALT723360', 'ALT723361', 'ALT723201', 'ALT723202', 'ALT311202', 'ALT723203', 'ALT723205', 'ALT311204', 'ALT311205', 'ALT723206', 'ALT311207', 'ALT311208', 'ALT311209', 'ALT723210', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114', 'ALT723350', 'ALT723351', 'ALT723352']"
Automotive and Land Transportation,Automotive Servicing NC IV,https://tesdatrainingcourses.com/automotive-servicing-nc-iv.html,804,"[{'ALT723323': 'Service Diesel Engine Management System'}, {'ALT': '723324 Service Electronic Body Management System'}, {'ALT': '723325 Service Diesel Fuel Injection System Components'}, {'ALT': '723326 Service Electronic Drive Management System'}, {'ALT': '723327 Service Emission Control System'}, {'ALT': '723362 Service and repair electronically controlled anti-lock braking system'}, {'ALT': '723363 Service and repair electronically operated traction control System'}, {'ALT': '723364 Service and repair electronically operated stability control System'}, {'ALT311365': 'Plan assessment activities and processes'}, {'ALT311366': 'Manage facility and inventory requirements'}, {'ALT311367': 'Estimate complex jobs'}, {'ALT311368': 'Ensure a safe workplace'}, {'ALT311369': 'Implement continuous improvement'}, {'ALT311370': 'Manage people performance'}, {'ALT311371': 'Plan and manage compliance with environmental regulations in a workplace or business'}]","[{'ALT723201': 'Apply Appropriate Sealant/Adhesive'}, {'ALT723202': 'Move and Position Vehicle'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}, {'ALT311204': 'Perform Job Estimate'}, {'ALT311205': 'Interpret/Draw Technical Drawing'}, {'ALT723206': 'Practice health, safety and environment procedures'}, {'ALT311207': 'Inspect technical quality of work'}, {'ALT311208': 'Maintain quality systems'}, {'ALT311209': 'Provide work skill instructions'}, {'ALT723210': 'Identify and select original automotive parts and products'}]","[{'500311115': 'Utilize specialized communication skills'}, {'500311116': 'Develop teams and individuals'}, {'500311117': 'Apply problem solving techniques in the workplace'}, {'500311118': 'Collect, analyze and organize information'}, {'500311119': 'Plan and organize work'}, {'500311120': 'Promote environmental protection'}]",[],"['ALT723323', 'ALT', 'ALT', 'ALT', 'ALT', 'ALT', 'ALT', 'ALT', 'ALT311365', 'ALT311366', 'ALT311367', 'ALT311368', 'ALT311369', 'ALT311370', 'ALT311371', 'ALT723201', 'ALT723202', 'ALT311202', 'ALT723203', 'ALT723205', 'ALT311204', 'ALT311205', 'ALT723206', 'ALT311207', 'ALT311208', 'ALT311209', 'ALT723210', '500311115', '500311116', '500311117', '500311118', '500311119', '500311120']"
Automotive and Land Transportation,Automotive Wiring Harness Assembly NC II,https://tesdatrainingcourses.com/automotive-wiring-harness-assembly-nc-ii.html,134,"[{'ALT827324': 'Select and classify materials and parts for assembly of wiring harness'}, {'ALT827325': 'Perform cutting and stripping of electrical wires'}, {'ALT827326': 'Perform crimping and soldering of terminals'}, {'ALT827327': 'Perform tying, taping and finishing of assembly wires'}]","[{'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT742201': 'Read, Interpret and Apply engineering Drawings'}, {'ALT723201': 'Apply Appropriate Sealant/Adhesive'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['ALT827324', 'ALT827325', 'ALT827326', 'ALT827327', 'ALT311202', 'ALT742201', 'ALT723201', 'ALT723205', '500311105', '500311106', '500311107', '500311108']"
Automotive and Land Transportation,Driving (Articulated Vehicle) NC III,https://tesdatrainingcourses.com/driving-articulated-vehicle-nc-iii.html,108,"[{'ALT723349': 'Perform Minor Maintenance and Servicing on Vehicles Classified under LTO Restriction Codes 6 up to 8'}, {'ALT832305': 'Perform Pre-and Post Operation Procedures Vehicles Classified under LTO Restriction Codes 6 up to 8'}, {'ALT832303': 'Obey and Observe Traffic Rules and Regulations'}, {'ALT832309': 'Observe Road Health and Safety Practices'}, {'ALT832304': 'Implement and Coordinate Accident-Emergency Procedures'}, {'ALT832308': 'Drive Articulated Vehicle'}]","[{'ALT723349': 'Perform Minor Maintenance and Servicing on Vehicles Classified under LTO Restriction Codes 6 up to 8'}, {'ALT832305': 'Perform Pre-and Post Operation Procedures Vehicles Classified under LTO Restriction Codes 6 up to 8'}, {'ALT832303': 'Obey and Observe Traffic Rules and Regulations'}, {'ALT832309': 'Observe Road Health and Safety Practices'}, {'ALT832304': 'Implement and Coordinate Accident-Emergency Procedures'}, {'ALT832308': 'Drive Articulated Vehicle'}]","[{'500311109': 'Lead Workplace Communication'}, {'500311110': 'Lead Small Teams'}, {'500311111': 'Develop and Practice Negotiation skills'}, {'500311112': 'Solve Problems Related to Work Activities'}, {'500311113': 'Use Mathematical Concepts and Techniques'}, {'500311114': 'Use Relevant Technologies'}]",[],"['ALT723349', 'ALT832305', 'ALT832303', 'ALT832309', 'ALT832304', 'ALT832308', 'ALT723349', 'ALT832305', 'ALT832303', 'ALT832309', 'ALT832304', 'ALT832308', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
Automotive and Land Transportation,Driving (Passenger Bus/Straight Truck) NC III,https://tesdatrainingcourses.com/driving-passenger-bus-straight-truck-nc-iii.html,122,"[{'ALT723349': 'Perform Minor Maintenance and Servicing on Vehicles Classified under LTO Restriction Codes 3 up to 5'}, {'ALT832305': 'Perform Pre-and Post Operation Procedures Vehicles Classified under LTO Restriction Codes 3 up to 5'}, {'ALT832303': 'Obey and Observe Traffic Rules and Regulations'}, {'ALT832309': 'Observe Road Health and Safety Practices'}, {'ALT832304': 'Implement and Coordinate Accident-Emergency Procedures'}, {'ALT832306': 'Drive Passenger Bus'}, {'ALT832307': 'Drive Straight Truck'}]","[{'ALT723201': 'Apply Appropriate Sealant/Adhesive'}, {'ALT311205': 'Interpret/Draw Technical Drawing'}, {'ALT723202': 'Move and Position Vehicle'}, {'ALT311204': 'Perform Job Estimate'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723204': 'Use and Apply Lubricant/Coolant'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311109': 'Lead Workplace Communication'}, {'500311110': 'Lead Small Teams'}, {'500311111': 'Develop and Practice Negotiation skills'}, {'500311112': 'Solve Problems Related to Work Activities'}, {'500311113': 'Use Mathematical Concepts and Techniques'}, {'500311114': 'Use Relevant Technologies'}]",[],"['ALT723349', 'ALT832305', 'ALT832303', 'ALT832309', 'ALT832304', 'ALT832306', 'ALT832307', 'ALT723201', 'ALT311205', 'ALT723202', 'ALT311204', 'ALT311202', 'ALT723203', 'ALT723204', 'ALT723205', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
Automotive and Land Transportation,Driving NC II,https://tesdatrainingcourses.com/driving-nc-ii.html,118,"[{'ALT723348': 'Carry Out Minor Vehicle Maintenance and Servicing'}, {'ALT832302': 'Drive Light Vehicle'}, {'ALT832303': 'Obey and Observe Traffic Rules and Regulations'}, {'ALT832304': 'Implement and Coordinate Accident-Emergency Procedures'}]","[{'ALT723201': 'Apply Appropriate Sealant/Adhesive'}, {'ALT723202': 'Move and Position Vehicle'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723204': 'Use and Apply Lubricant/Coolant'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311105': 'Participate in Workplace Communication'}, {'500311106': 'Work in Team Environment'}, {'500311107': 'Practice Career Professionalism'}, {'500311108': 'Practice Occupational Health and Safety Procedures'}]",[],"['ALT723348', 'ALT832302', 'ALT832303', 'ALT832304', 'ALT723201', 'ALT723202', 'ALT311202', 'ALT723203', 'ALT723204', 'ALT723205', '500311105', '500311106', '500311107', '500311108']"
Automotive and Land Transportation,Forging NC II,https://tesdatrainingcourses.com/forging-nc-ii.html,106,"[{'ALT722301': 'Perform Hand Forging'}, {'ALT722302': 'Perform Hammer Forging'}, {'ALT722303': 'Perform Basic Incidental Heat/Quenching, Tempering and Annealing'}]","[{'ALT742201': 'Read & Interpret Engineering Drawings'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['ALT722301', 'ALT722302', 'ALT722303', 'ALT742201', 'ALT311202', 'ALT723203', 'ALT723205', '500311105', '500311106', '500311107', '500311108']"
Automotive and Land Transportation,Forging NC III,https://tesdatrainingcourses.com/forging-nc-iii.html,112,"[{'ALT722304': 'Hand Forge Complex Shapes'}, {'ALT722305': 'Hammer Forge Complex Shapes'}, {'ALT722306': 'Perform Drop and Upset Forging'}]","[{'ALT742201': 'Read & Interpret Engineering Drawings'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311109': 'Lead Workplace Communication'}, {'500311110': 'Lead Small Teams'}, {'500311111': 'Develop and Practice Negotiation skills'}, {'500311112': 'Solve Problems Related to Work Activities'}, {'500311113': 'Use Mathematical Concepts and Techniques'}, {'500311114': 'Use Relevant Technologies'}]",[],"['ALT722304', 'ALT722305', 'ALT722306', 'ALT742201', 'ALT311202', 'ALT723203', 'ALT723205', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
Automotive and Land Transportation,Foundry Melting/Casting NC II,https://tesdatrainingcourses.com/foundry-melting-casting-nc-ii.html,128,"[{'ALT812307': 'Operate Melting Furnaces (Non Electric)'}, {'ALT812308': 'Operate Cupola Melting Furnaces'}, {'ALT812309': 'Operate Electric Induction Melting Furnaces'}, {'ALT812310': 'Fettle and Trim Metal Castings/Forgings'}, {'ALT812311': 'Perform Refractory Installation and Repair'}, {'ALT821303': 'Use and Maintain Measuring Instrument'}]","[{'ALT742201': 'Read & Interpret Engineering Drawings'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311105': 'Participate in workplace communication'}, {'500311106': 'Work in a team environment'}, {'500311107': 'Practice career professionalism'}, {'500311108': 'Practice occupational health and safety procedures'}]",[],"['ALT812307', 'ALT812308', 'ALT812309', 'ALT812310', 'ALT812311', 'ALT821303', 'ALT742201', 'ALT311202', 'ALT723203', 'ALT723205', '500311105', '500311106', '500311107', '500311108']"
Automotive and Land Transportation,Foundry Melting/Casting NC III,https://tesdatrainingcourses.com/foundry-melting-casting-nc-iii.html,108,"[{'ALT812315': 'Melt Aluminum-Silicon Alloys for Safety Tested Castings'}, {'ALT812316': 'Melt Metals Using Coreless Induction Furnace'}, {'ALT812317': 'Melt Automotive Gray Iron Castings in Cupola'}]","[{'ALT742201': 'Read & Interpret Engineering Drawings'}, {'ALT311202': 'Perform Mensuration and Calculation'}, {'ALT723203': 'Read, Interpret and Apply Specifications and Manuals'}, {'ALT723205': 'Perform Shop Maintenance'}]","[{'500311109': 'Lead Workplace Communication'}, {'500311110': 'Lead Small Teams'}, {'500311111': 'Develop and Practice Negotiation skills'}, {'500311112': 'Solve Problems Related to Work Activities'}, {'500311113': 'Use Mathematical Concepts and Techniques'}, {'500311114': 'Use Relevant Technologies'}]",[],"['ALT812315', 'ALT812316', 'ALT812317', 'ALT742201', 'ALT311202', 'ALT723203', 'ALT723205', '500311109', '500311110', '500311111', '500311112', '500311113', '500311114']"
