,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
REGION_VII|BOHOL|CONSTRUCTION|ROUGH AND FINISHING CARPENTER|CARPENTERS|CARPENTRY NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,ROUGH AND FINISHING CARPENTER,CARPENTERS,CARPENTRY NC II,WITH TR,HIGH,,"1,697",18,8,6,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|ROUGH MASON|MASON|MASONRY NC I|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,ROUGH MASON,MASON,MASONRY NC I,WITH TR,HIGH,,"1,651",16,10,2,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|SOLAR PANEL INSTALLATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,SOLAR PANEL INSTALLATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,HIGH,,"1,704",18,9,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|STRUCTURAL STEEL ERECTOR|STEEL MAN|REINFORCING STEEL WORKS NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,STRUCTURAL STEEL ERECTOR,STEEL MAN,REINFORCING STEEL WORKS NC II,WITH TR,HIGH,,"1,704",17,9,6,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|SYSTEM FORMWORKS INSTALLER|SYSTEM FORMWORK INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,SYSTEM FORMWORKS INSTALLER,SYSTEM FORMWORK INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,HIGH,,"1,704",14,10,6,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|TILE SETTER|TILE SETTER|TILE SETTING NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,TILE SETTER,TILE SETTER,TILE SETTING NC II,WITH TR,HIGH,,"1,702",17,10,6,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|TRANSIT MIXER OPERATOR|TRANSIT MIXER OPERATOR|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,TRANSIT MIXER OPERATOR,TRANSIT MIXER OPERATOR,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,HIGH,,"1,704",11,9,6,1,#REF!,#REF!
REGION_VII|BOHOL|GARMENTS|FASHION DESIGN|BEADS SEWER|FASHION DESIGN (APPAREL) NC III|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,FASHION DESIGN,BEADS SEWER,FASHION DESIGN (APPAREL) NC III,WITH TR,HIGH,,"1,413",13,10,7,1,#REF!,#REF!
REGION_VII|BOHOL|GARMENTS|FASHION DESIGN|GOWN DESIGNERS|FASHION DESIGN (APPAREL) NC III|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,FASHION DESIGN,GOWN DESIGNERS,FASHION DESIGN (APPAREL) NC III,WITH TR,HIGH,,"1,704",13,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|PANTS SEWER|TAILORING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,PANTS SEWER,TAILORING NC II,WITH TR,HIGH,,"1,702",16,5,6,0,#REF!,#REF!
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|POLO SEWER|DRESSMAKING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,POLO SEWER,DRESSMAKING NC II,WITH TR,HIGH,,"1,699",17,3,6,0,#REF!,#REF!
REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCITON|T SHIRT SEWERS|DRESSMAKING NC II|WITH TR|HIGH,REGION_VII,BOHOL,GARMENTS,GARMENT PRODUCITON,T SHIRT SEWERS,DRESSMAKING NC II,WITH TR,HIGH,,"1,699",18,3,6,0,#REF!,#REF!
"REGION_VII|BOHOL|GARMENTS|GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING|SEWER|TAILORING NC II|WITH TR|HIGH",REGION_VII,BOHOL,GARMENTS,"GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING",SEWER,TAILORING NC II,WITH TR,HIGH,,"1,702",18,5,6,0,#REF!,#REF!
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|AFTERSALES & SERVICES|REFRIGERATION & AIRCONDITIONING TECHNICIANS|RAC SERVICING (DOMRAC) NC II|WITH TR|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",AFTERSALES & SERVICES,REFRIGERATION & AIRCONDITIONING TECHNICIANS,RAC SERVICING (DOMRAC) NC II,WITH TR,HIGH,,"1,699",18,8,9,0,#REF!,#REF!
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN|REFRIGERATION & AIRCONDITIONING TECHNICIANS|INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III|WITH CS|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION","INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN",REFRIGERATION & AIRCONDITIONING TECHNICIANS,INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III,WITH CS,HIGH,,"1,704",15,10,0,0,#REF!,#REF!
"REGION_VII|BOHOL|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|REPAIR AND INSTALLATION|WELDER|GAS WELDING NC I|WITH TR|HIGH",REGION_VII,BOHOL,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",REPAIR AND INSTALLATION,WELDER,GAS WELDING NC I,WITH TR,HIGH,,"1,704",17,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|BARANGAY HEALTH WORKERS|BARANGAY HEALTH SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,BARANGAY HEALTH WORKERS,BARANGAY HEALTH SERVICES NC II,WITH TR,HIGH,,"1,704",17,7,6,0,#REF!,#REF!
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|CAREGIVERS|CAREGIVING NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,CAREGIVERS,CAREGIVING NC II,WITH TR,HIGH,,"1,658",14,3,3,0,#REF!,#REF!
REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|HEALTH WORKERS|HEALTHCARE WORKER|HEALTH CARE SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,HEALTH WORKERS,HEALTHCARE WORKER,HEALTH CARE SERVICES NC II,WITH TR,HIGH,,"1,699",18,5,3,0,#REF!,#REF!
"REGION_VII|BOHOL|HUMAN HEALTH / HEALTH CARE|MASSEURS, HILOT WORKERS|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR|HIGH",REGION_VII,BOHOL,HUMAN HEALTH / HEALTH CARE,"MASSEURS, HILOT WORKERS",MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,HIGH,,"1,704",18,9,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATION|2D ANIMATION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATION,2D ANIMATION NC III,WITH TR,HIGH,,"1,704",15,8,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|ANIMATION SERVICES|2D ANIMATOR|2D ANIMATION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,ANIMATION SERVICES,2D ANIMATOR,2D ANIMATION NC III,WITH TR,HIGH,,"1,704",18,8,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CALL CENTER AGENTS|CONTACT CENTER SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CALL CENTER AGENTS,CONTACT CENTER SERVICES NC II,WITH TR,HIGH,,"1,704",14,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|CONTACT CENTER AND BPO|CUSTOMER SERVICE REPRESENTATIVE|CONTACT CENTER SERVICES NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,CONTACT CENTER AND BPO,CUSTOMER SERVICE REPRESENTATIVE,CONTACT CENTER SERVICES NC II,WITH TR,HIGH,,"1,704",17,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|DATA ANALYST|DATA ANALYTICS LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,DATA ANALYST,DATA ANALYTICS LEVEL III,WITH TR,HIGH,,"1,704",17,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|E-COMMERCE|SOCIAL MEDIA MANAGING|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,E-COMMERCE,SOCIAL MEDIA MANAGING,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|ATLASSIAN GURU/SCRUM MASTER|WEB DEVELOPMENT NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,ATLASSIAN GURU/SCRUM MASTER,WEB DEVELOPMENT NC III,WITH TR,HIGH,,"1,704",17,10,9,1,#REF!,#REF!
"REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR|MEDIUM",REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"COMPUTER LITERATE AND PROFICIENT TO WINDOWS OS, APPLE OS, X, MS OFFICE AND GOOGLE APPLICATION",COMPUTER SYSTEMS SERVICING NC II,WITH TR,MEDIUM,,545,6,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|CYBER RISK ASSESSMENT LEVEL III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,CYBER RISK ASSESSMENT LEVEL III,WITH TR,HIGH,,291,3,3,2,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|HARDWARE DEPLOYMENT|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,HARDWARE DEPLOYMENT,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,281,2,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SKILLED INDIVIDUAL|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IT SKILLED INDIVIDUAL,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,"1,694",15,0,3,0,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|NETWORK ENGINEER AND FIBER OPTIC SPECIALIST|TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,NETWORK ENGINEER AND FIBER OPTIC SPECIALIST,TELECOM OSP INSTALLATION (FIBER OPTIC CABLE) NC II,WITH TR,MEDIUM,,555,5,4,3,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR DRUPAL DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR DRUPAL DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,742,8,4,4,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SENIOR SWIFT DEVELOPER|WEB DEVELOPMENT NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SENIOR SWIFT DEVELOPER,WEB DEVELOPMENT NC III,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|STRUCTURED CABLING|COMPUTER SYSTEMS SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,STRUCTURED CABLING,COMPUTER SYSTEMS SERVICING NC II,WITH TR,HIGH,,"1,694",18,0,3,0,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEB DEVELOPER AND DESIGNER|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEB DEVELOPER AND DESIGNER,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,742,8,4,4,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|GRAPHIC DESIGNERS|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,GRAPHIC DESIGNERS,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,"1,703",17,9,7,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|MASTER OF PHOTOSHOP|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,MASTER OF PHOTOSHOP,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,290,3,2,2,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION NC III,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|INFORMATION AND COMMUNICATION TECHNOLOGY|MULTIMEDIA SERVICES|VISUAL GRAPHIC DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR|HIGH,REGION_VII,BOHOL,INFORMATION AND COMMUNICATION TECHNOLOGY,MULTIMEDIA SERVICES,VISUAL GRAPHIC DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,HIGH,,"1,413",15,9,7,1,#REF!,#REF!
REGION_VII|BOHOL|OTHERS|CULTURAL EXCHANGE AND INTERNATIONAL RELATION|SKILL IN JAPANESE LANGUAGE|LANGUAGE A1 LEVEL|WITH CS|HIGH,REGION_VII,BOHOL,OTHERS,CULTURAL EXCHANGE AND INTERNATIONAL RELATION,SKILL IN JAPANESE LANGUAGE,LANGUAGE A1 LEVEL,WITH CS,HIGH,,"1,704",17,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|OTHERS|FURNITURE/SOUVENIRS/UPCYCLING|PRODUCT DESIGNER|WOOD CARVING LEVEL II|WITH CS|HIGH,REGION_VII,BOHOL,OTHERS,FURNITURE/SOUVENIRS/UPCYCLING,PRODUCT DESIGNER,WOOD CARVING LEVEL II,WITH CS,HIGH,,"1,704",11,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|OTHERS|LANGUAGE EDUCATION AND INSTRUCTION|SKILL IN KOREAN LANGUAGE|LANGUAGE A1 LEVEL|WITH CS|MEDIUM,REGION_VII,BOHOL,OTHERS,LANGUAGE EDUCATION AND INSTRUCTION,SKILL IN KOREAN LANGUAGE,LANGUAGE A1 LEVEL,WITH CS,MEDIUM,,742,3,4,0,0,#REF!,#REF!
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|COLLECTION AND DISBURSMENT|BOOKKEEPING|BOOKKEEPING NC III|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",COLLECTION AND DISBURSMENT,BOOKKEEPING,BOOKKEEPING NC III,WITH TR,HIGH,,"1,631",12,0,0,0,#REF!,#REF!
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|GEL/POLYGEL NAILS|NAIL ART/NAIL EXTENSION|BEAUTY CARE (NAIL ENHANCEMENT TECHNOLOGY) SERVICES NC III|WITH TR|MEDIUM",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",GEL/POLYGEL NAILS,NAIL ART/NAIL EXTENSION,BEAUTY CARE (NAIL ENHANCEMENT TECHNOLOGY) SERVICES NC III,WITH TR,MEDIUM,,187,0,1,1,1,#REF!,#REF!
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|HAIRSTYLING AND HAIRCARE|BEAUTICIAN SPECIALIST|HAIRDRESSING NC II|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",HAIRSTYLING AND HAIRCARE,BEAUTICIAN SPECIALIST,HAIRDRESSING NC II,WITH TR,HIGH,,"1,413",6,10,7,1,#REF!,#REF!
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|RESIDENTIAL AND COMMERCIAL REAL ESTATE|REAL ESTATE BROOKER|REAL ESTATE SERVICES NC II|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",RESIDENTIAL AND COMMERCIAL REAL ESTATE,REAL ESTATE BROOKER,REAL ESTATE SERVICES NC II,WITH TR,HIGH,,"1,704",5,9,6,1,#REF!,#REF!
"REGION_VII|BOHOL|SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES|TAX COMPLIANCE|TAX LIAISON|BOOKKEEPING NC III|WITH TR|HIGH",REGION_VII,BOHOL,"SOCIAL, COMMUNITY DEVELOPMENT AND OTHER SERVICES",TAX COMPLIANCE,TAX LIAISON,BOOKKEEPING NC III,WITH TR,HIGH,,"1,631",10,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION AND TRAVEL SERVICES|DRIVERS|DRIVING NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION AND TRAVEL SERVICES,DRIVERS,DRIVING NC II,WITH TR,MEDIUM,,600,7,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|DIGITAL MARKETING & PROMOTION TECHNOLOGY|DIGITAL MARKETING LEVEL III|WITH CS|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,DIGITAL MARKETING & PROMOTION TECHNOLOGY,DIGITAL MARKETING LEVEL III,WITH CS,MEDIUM,,742,2,4,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,MEDIUM,,663,8,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,ELECTRONICS/SOUND SYTEM OPERATOR/TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,HIGH,,"1,704",18,4,6,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|LANGUAGES (NIHONGO & KOREAN)|LANGUAGE A1 LEVEL|WITH CS|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,LANGUAGES (NIHONGO & KOREAN),LANGUAGE A1 LEVEL,WITH CS,MEDIUM,,742,8,4,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|MASSAGE THERAPIST|MASSAGE THERAPY NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,MASSAGE THERAPIST,MASSAGE THERAPY NC II,WITH TR,MEDIUM,,742,6,3,4,1,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|PLUMBERS|PLUMBING NC II|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,PLUMBERS,PLUMBING NC II,WITH TR,HIGH,,"1,704",16,9,9,1,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,MEDIUM,,737,7,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|SOLAR TECHNICIAN|PV SYSTEMS INSTALLATION NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,SOLAR TECHNICIAN,PV SYSTEMS INSTALLATION NC II,WITH TR,MEDIUM,,742,8,3,4,1,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMMODATION|TAX LIAISON|BOOKKEEPING NC III|WITH TR|HIGH,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMMODATION,TAX LIAISON,BOOKKEEPING NC III,WITH TR,HIGH,,"1,631",14,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER)|FRONT OFFICE SERVICES NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,FRONT OFFICE SERVICES HIGHER QUALIFICATIONS (FRONT OFFICE SUPERVISOR/MANAGER),FRONT OFFICE SERVICES NC III,WITH TR,MEDIUM,,742,8,3,0,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER)|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,HOUSEKEEPING SERVICES HIGHER QUALIFICATIONS (HOUSEKEEPING SUPERVISOR/MANAGER),HOUSEKEEPING NC III,WITH TR,MEDIUM,,742,7,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LAUNDRY SUPERVISOR|HOUSEKEEPING NC III|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LAUNDRY SUPERVISOR,HOUSEKEEPING NC III,WITH TR,MEDIUM,,742,6,2,4,0,#REF!,#REF!
REGION_VII|BOHOL|TOURISM (HOTEL AND RESTAURANT)|ACCOMODATION|LIFEGUARD SERVICES (LIFEGUARD)|LIFEGUARD SERVICES NC II|WITH TR|MEDIUM,REGION_VII,BOHOL,TOURISM (HOTEL AND RESTAURANT),ACCOMODATION,LIFEGUARD SERVICES (LIFEGUARD),LIFEGUARD SERVICES NC II,WITH TR,MEDIUM,,742,2,4,4,1,#REF!,#REF!
