,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|HIGH QUALITY INBREED RICE GROWER|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,HIGH QUALITY INBREED RICE GROWER,NONE,NEW AND EMERGING,MEDIUM,,187,2,2,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERCROPPING TECHNICIAN|NONE|NEW AND EMERGING|MEDIUM,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,INTERCROPPING TECHNICIAN,NONE,NEW AND EMERGING,MEDIUM,,187,0,2,0,0,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)|COCONUT PRODUCTION LEVEL II|WITH CS|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"INTERGRATED COCONUT AND CASH CROPS PRODUCTION AND PROCESSING (BY PRODUCTS LIKE SHELL,DUST, COIR)",COCONUT PRODUCTION LEVEL II,WITH CS,HIGH,,"1,704",11,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MAKE ORGANIC FERTILIZER & CONCOCTION|ORGANIC AGRICULTURE PRODUCTION NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,MAKE ORGANIC FERTILIZER & CONCOCTION,ORGANIC AGRICULTURE PRODUCTION NC II,WITH TR,HIGH,,"1,529",17,0,0,0,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|CROP PRODUCTION|MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)|NONE|NEW AND EMERGING|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,CROP PRODUCTION,"MEDICINAL TEA PRODUCTION AND PROCESSING (TURMERIC,SALABAT,MORINGA,ETC.)",NONE,NEW AND EMERGING,HIGH,,"1,704",17,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,HIGH,,"1,704",18,10,0,0,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR|LOW,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,WITH TR,LOW,,507,7,3,3,1,#REF!,#REF!
REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR|HIGH,REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,WITH TR,HIGH,,"1,413",15,10,7,1,#REF!,#REF!
"REGION_VII|BOHOL|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR|HIGH",REGION_VII,BOHOL,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
